#r_[m]          a_[-]          a_prime_[-]    Ct_[-]         Cq_[-]         Cp_[-]         cn_[-]         ct_[-]         phi_[deg]      alpha_[deg]    Cl_[-]         Cd_[-]         Pn_[N/m]       Pt_[N/m]       Vrel_[m/s]     Un_[m/s]       Ut_[m/s]       F_[-]          Re_[-]         Gamma_[m^2/s]  uia_[m/s]      uit_[m/s]      u_turb_[m/s]  
 3.0000000e+00  5.9852425e-02  1.0009200e-04  2.0312194e-01 -2.1967142e-01 -3.3899950e-02  3.4490070e-01 -5.9527437e-02  8.0191253e+01  4.3899297e+01  1.0000000e-04  3.5000000e-01  2.0011644e+02 -3.4538691e+01  1.4508918e+01  1.4296826e+01  2.4717383e+00  1.0000000e+00  3.6030889e+00  3.2645067e-03  9.5763881e-01  2.4737648e-04 -7.4551532e-01
 4.6695996e+00  3.9894261e-02  4.8204833e-05  1.5550302e-01 -2.3433340e+00 -5.6288293e-01  3.3969676e-01 -8.4297827e-02  7.6046862e+01  4.0176214e+01  1.0000000e-04  3.5000000e-01  2.3846418e+02 -5.9176344e+01  1.5954761e+01  1.5483988e+01  3.8471431e+00  1.0000000e+00  3.9642659e+00  3.5917438e-03  6.3830817e-01  1.8544195e-04  1.2231966e-01
 6.3391991e+00  3.1114110e-02  5.1973497e-03  1.2129962e-01 -3.7630091e+00 -1.2270829e+00  3.3925872e-01 -9.4043104e-02  7.1352506e+01  3.5988907e+01  1.9370031e-02  3.5151869e-01  2.5252158e+02 -6.9999420e+01  1.6417989e+01  1.5556106e+01  5.2495671e+00  1.0000000e+00  4.0847816e+00  7.1687220e-01  4.9782577e-01  2.7142766e-02  5.3956260e-02
 8.0087987e+00  2.8211606e-02  1.7244479e-02  1.0996466e-01 -2.6198608e+00 -1.0793190e+00  3.6163301e-01 -4.8233332e-02  6.6691706e+01  3.1947575e+01  9.8793420e-02  3.5120471e-01  2.8921792e+02 -3.8574864e+01  1.6962430e+01  1.5578111e+01  6.7116681e+00  1.0000000e+00  4.2480576e+00  3.8024280e+00  4.5138569e-01  1.1377719e-01  2.9523175e-02
 9.6783983e+00  2.9166593e-02  3.0317885e-02  1.1342144e-01  3.9095965e+00  1.9464339e+00  4.1360046e-01  5.4651200e-02  6.2155927e+01  2.8132916e+01  2.4150289e-01  3.4018884e-01  3.6049838e+02  4.7634544e+01  1.7588684e+01  1.5552300e+01  8.2150928e+00  9.9999995e-01  4.4648852e+00  9.7695647e+00  4.6666548e-01  2.4173535e-01  1.8994872e-02
 1.1347998e+01  3.3742621e-02  4.4057127e-02  1.3050870e-01  2.0261647e+01  1.1827644e+01  5.0755633e-01  2.1972017e-01  5.7756647e+01  2.4503043e+01  4.5662669e-01  3.1206161e-01  4.8636621e+02  2.1054701e+02  1.8295046e+01  1.5473762e+01  9.7607072e+00  9.9999963e-01  4.7191847e+00  1.9524092e+01  5.3988193e-01  4.1188236e-01  1.3679661e-02
 1.3017597e+01  4.0931474e-02  5.4063689e-02  1.5706833e-01  6.4323031e+01  4.3072648e+01  6.3595986e-01  3.9808194e-01  5.3640867e+01  2.1151593e+01  6.9760749e-01  2.7614846e-01  6.7146615e+02  4.2030726e+02  1.9067536e+01  1.5355408e+01  1.1304087e+01  9.9999841e-01  4.9890881e+00  3.1533696e+01  6.5490358e-01  5.7979476e-01  1.0357916e-02
 1.5279636e+01  5.6457828e-02  6.6642873e-02  2.1306988e-01  1.9593331e+02  1.5400170e+02  8.8556312e-01  6.8232840e-01  4.8364735e+01  1.6950976e+01  1.0983210e+00  2.0853073e-01  1.0691527e+03  8.2378457e+02  2.0209194e+01  1.5104135e+01  1.3426712e+01  9.9999384e-01  5.3826055e+00  5.3562942e+01  9.0332524e-01  8.3888896e-01  7.5079027e-03
 1.7541674e+01  7.1784252e-02  6.9541692e-02  2.6645520e-01  3.2636703e+02  2.9449745e+02  1.1077041e+00  8.6253646e-01  4.3867524e+01  1.3629238e+01  1.3963246e+00  1.4579099e-01  1.5349701e+03  1.1952359e+03  2.1439015e+01  1.4857094e+01  1.5456330e+01  9.9998360e-01  5.8236152e+00  7.3675254e+01  1.1485480e+00  1.0049722e+00  5.6795443e-03
 1.9803712e+01  8.2342777e-02  6.4697307e-02  3.0212151e-01  4.4598108e+02  4.5432566e+02  1.2344775e+00  9.0894679e-01  4.0214985e+01  1.1199534e+01  1.5295488e+00  1.0295304e-01  1.9648659e+03  1.4467324e+03  2.2747255e+01  1.4686934e+01  1.7370423e+01  9.9996401e-01  6.3043757e+00  8.7367117e+01  1.3174844e+00  1.0555300e+00  4.4491453e-03
 2.2065750e+01  8.7217767e-02  5.6303900e-02  3.1826443e-01  5.4150367e+02  6.1464498e+02  1.2635945e+00  8.6376844e-01  3.7262322e+01  9.4644747e+00  1.5286409e+00  7.7613473e-02  2.3062770e+03  1.5765258e+03  2.4126934e+01  1.4608018e+01  1.9201946e+01  9.9992938e-01  6.8158960e+00  9.4399788e+01  1.3954843e+00  1.0235167e+00  3.5178568e-03
 2.4327788e+01  8.9562584e-02  4.8434142e-02  3.2593555e-01  6.3273604e+02  7.9182541e+02  1.2489654e+00  8.0140068e-01  3.4736756e+01  8.0986850e+00  1.4830167e+00  5.3095035e-02  2.6039883e+03  1.6708533e+03  2.5569758e+01  1.4569823e+01  2.1012682e+01  9.9987455e-01  7.3465481e+00  9.8712455e+01  1.4330013e+00  9.7071560e-01  2.8347679e-03
 2.6589826e+01  9.0494337e-02  4.1603598e-02  3.2894035e-01  7.2087094e+02  9.8600077e+02  1.2133534e+00  7.3571634e-01  3.2532966e+01  6.9442485e+00  1.4186137e+00  3.2253684e-02  2.8723497e+03  1.7416480e+03  2.7063614e+01  1.4554400e+01  2.2816850e+01  9.9979352e-01  7.8810764e+00  1.0129599e+02  1.4479094e+00  9.1134781e-01  2.3176382e-03
 2.8851864e+01  8.9352018e-02  3.5357153e-02  3.2514076e-01  7.9362327e+02  1.1778568e+03  1.1550069e+00  6.6251159e-01  3.0631559e+01  5.9291775e+00  1.3313988e+00  1.8428112e-02  3.0807040e+03  1.7670909e+03  2.8600284e+01  1.4572287e+01  2.4609444e+01  9.9967622e-01  8.4026522e+00  1.0136013e+02  1.4296323e+00  8.4040560e-01  1.9260986e-03
 3.1113903e+01  8.5633635e-02  2.9496701e-02  3.1281635e-01  8.3853791e+02  1.3420893e+03  1.0733249e+00  5.8139220e-01  2.9006651e+01  4.9750683e+00  1.2206143e+00  1.2002876e-02  3.1963079e+03  1.7313569e+03  3.0173513e+01  1.4631473e+01  2.6388651e+01  9.9950750e-01  8.8922742e+00  9.8340831e+01  1.3701382e+00  7.5607642e-01  1.6173285e-03
 3.3375941e+01  7.9965640e-02  2.4217495e-02  2.9384214e-01  8.5508338e+02  1.4680681e+03  9.7984060e-01  5.0072180e-01  2.7598680e+01  4.0779933e+00  1.1003209e+00  1.0189467e-02  3.2207147e+03  1.6458617e+03  3.1777865e+01  1.4721910e+01  2.8161997e+01  9.9927033e-01  9.3195178e+00  9.2908487e+01  1.2794502e+00  6.6588694e-01  1.3660828e-03
 3.5637979e+01  7.2757614e-02  1.9559899e-02  2.6935393e-01  8.4577081e+02  1.5504936e+03  8.7909251e-01  4.2515915e-01  2.6365747e+01  3.2865708e+00  9.7646005e-01  9.4716578e-03  3.1523980e+03  1.5246073e+03  3.3409233e+01  1.4837028e+01  2.9933918e+01  9.9894325e-01  9.6707755e+00  8.5557554e+01  1.1641218e+00  5.7427173e-01  1.1544479e-03
 3.7900017e+01  6.4842368e-02  1.5595951e-02  2.4198812e-01  8.1582707e+02  1.5905296e+03  7.7780167e-01  3.5711479e-01  2.5261869e+01  2.5698754e+00  8.5581889e-01  8.9688567e-03  3.0118832e+03  1.3828564e+03  3.5063360e+01  1.4963502e+01  3.1710137e+01  9.9850457e-01  9.9503203e+00  7.7154543e+01  1.0374779e+00  4.8695523e-01  9.8458704e-04
 4.0162055e+01  5.6884588e-02  1.2316775e-02  2.1397043e-01  7.7039271e+02  1.5915941e+03  6.8085616e-01  2.9730049e-01  2.4253789e+01  1.9097116e+00  7.4288515e-01  8.6222830e-03  2.8221127e+03  1.2322948e+03  3.6736819e+01  1.5090719e+01  3.3494239e+01  9.9793145e-01  1.0165735e+01  6.8423144e+01  9.1015340e-01  4.0752166e-01  8.7656543e-04
 4.2424093e+01  4.9259836e-02  9.6504407e-03  1.8664745e-01  7.1393913e+02  1.5580378e+03  5.9034549e-01  2.4543356e-01  2.3321053e+01  1.3006832e+00  6.3927780e-01  8.3258382e-03  2.6003949e+03  1.0811028e+03  3.8426986e+01  1.5212588e+01  3.5287539e+01  9.9719816e-01  1.0328044e+01  5.9820532e+01  7.8815738e-01  3.3728535e-01  7.4959000e-04
 4.4686131e+01  4.2280008e-02  7.5253679e-03  1.6122559e-01  6.5152875e+02  1.4976508e+03  5.0822466e-01  2.0119794e-01  2.2448100e+01  7.4228948e-01  5.4654105e-01  8.1114266e-03  2.3659818e+03  9.3665402e+02  4.0131780e+01  1.5324176e+01  3.7090826e+01  9.9627735e-01  1.0451740e+01  5.1755194e+01  6.7648013e-01  2.7703731e-01  6.5940041e-04
 4.6948169e+01  3.6079400e-02  5.8548853e-03  1.3831150e-01  5.8740015e+02  1.4185902e+03  4.3497260e-01  1.6395099e-01  2.1625721e+01  2.4037938e-01  4.6477819e-01  7.8949625e-03  2.1324636e+03  8.0377365e+02  4.1849516e+01  1.5423300e+01  3.8903776e+01  9.9513724e-01  1.0554815e+01  4.4446640e+01  5.7727041e-01  2.2645130e-01  5.7365920e-04
 4.9210208e+01  3.0823397e-02  4.5735764e-03  1.1863950e-01  5.2653008e+02  1.3328541e+03  3.7190601e-01  1.3333077e-01  2.0845337e+01 -1.9864565e-01  3.9500797e-01  7.7379471e-03  1.9172960e+03  6.8736334e+02  4.3578750e+01  1.5507348e+01  4.0726277e+01  9.9374406e-01  1.0658658e+01  3.8146173e+01  4.9317435e-01  1.8541672e-01  5.2591286e-04
 5.1472246e+01  2.6354191e-02  3.5854538e-03  1.0173067e-01  4.6961170e+02  1.2434154e+03  3.1827428e-01  1.0848158e-01  2.0106359e+01 -5.8980875e-01  3.3616946e-01  7.5409261e-03  1.7196090e+03  5.8611679e+02  4.5318309e+01  1.5578800e+01  4.2556435e+01  9.9205045e-01  1.0741769e+01  3.2717238e+01  4.2166706e-01  1.5203901e-01  4.7003530e-04
 5.3734284e+01  2.2312072e-02  2.7908607e-03  8.6304715e-02  4.1233467e+02  1.1397394e+03  2.7054180e-01  8.7571035e-02  1.9412303e+01 -9.4623027e-01  2.8426729e-01  7.3255275e-03  1.5229676e+03  4.9296577e+02  4.7067185e+01  1.5643422e+01  4.4391477e+01  9.8998966e-01  1.0776045e+01  2.7754209e+01  3.5699316e-01  1.2354563e-01  4.1821571e-04
 5.5996322e+01  1.8631898e-02  2.1475416e-03  7.2157602e-02  3.5428331e+02  1.0205033e+03  2.2748727e-01  6.9681967e-02  1.8760128e+01 -1.2673197e+00  2.3781182e-01  7.1814704e-03  1.3269247e+03  4.0645228e+02  4.8824417e+01  1.5702267e+01  4.6230536e+01  9.8749010e-01  1.0763994e+01  2.3192601e+01  2.9811037e-01  9.9069247e-02  3.8015642e-04
 5.8258360e+01  1.5365230e-02  1.6350627e-03  5.9521588e-02  2.9805255e+02  8.9321362e+02  1.8938836e-01  5.4659897e-02  1.8144854e+01 -1.5544256e+00  1.9699271e-01  7.0376268e-03  1.1387737e+03  3.2866463e+02  5.0589164e+01  1.5754500e+01  4.8073478e+01  9.8447257e-01  1.0708977e+01  1.9113522e+01  2.4584367e-01  7.8474839e-02  3.4729536e-04
 6.0520398e+01  1.2516637e-02  1.2315750e-03  4.8447248e-02  2.4520254e+02  7.6336279e+02  1.5608553e-01  4.2191859e-02  1.7562986e+01 -1.8074141e+00  1.6154129e-01  6.8743209e-03  9.6288752e+02  2.6028046e+02  5.2360694e+01  1.5800051e+01  4.9919943e+01  9.8084158e-01  1.0615216e+01  1.5536564e+01  2.0026619e-01  6.1404532e-02  3.2090985e-04
 6.2782436e+01  1.0086245e-02  9.1868016e-04  3.8961898e-02  1.9697455e+02  6.3613973e+02  1.2747210e-01  3.1983245e-02  1.7011494e+01 -2.0256816e+00  1.3125183e-01  6.7098368e-03  8.0330957e+02  2.0155349e+02  5.4138355e+01  1.5838909e+01  5.1769590e+01  9.7648390e-01  1.0487792e+01  1.2471883e+01  1.6137992e-01  4.7516043e-02  2.9265730e-04
 6.5044474e+01  8.0690014e-03  6.8077830e-04  3.1065716e-02  1.5436948e+02  5.1650685e+02  1.0347291e-01  2.3773856e-02  1.6487797e+01 -2.2081809e+00  1.0596541e-01  6.5704842e-03  6.6358484e+02  1.5246474e+02  5.5921573e+01  1.5871165e+01  5.3622089e+01  9.7126466e-01  1.0332650e+01  9.9201547e+00  1.2910402e-01  3.6479920e-02  2.7243985e-04
