#r_[m]          a_[-]          a_prime_[-]    Ct_[-]         Cq_[-]         Cp_[-]         cn_[-]         ct_[-]         phi_[deg]      alpha_[deg]    Cl_[-]         Cd_[-]         Pn_[N/m]       Pt_[N/m]       Vrel_[m/s]     Un_[m/s]       Ut_[m/s]       F_[-]          Re_[-]         Gamma_[m^2/s]  uia_[m/s]      uit_[m/s]      u_turb_[m/s]  
 3.0000000e+00  6.0292737e-02  8.3632708e-05  2.2662184e-01 -3.1112675e-01 -6.4078912e-02  3.4190493e-01 -7.4840004e-02  7.7636818e+01  4.6824862e+01  1.0000000e-04  3.5000000e-01  1.2558860e+02 -2.7490247e+01  1.1544181e+01  1.1276472e+01  2.4716976e+00  1.0000000e+00  2.8668374e+00  2.5974407e-03  7.2351284e-01  2.0669748e-04  0.0000000e+00
 4.6695996e+00  4.0748044e-02  3.6310742e-05  1.5634121e-01 -3.1729587e+00 -1.0171865e+00  3.3198341e-01 -1.1084686e-01  7.1519838e+01  4.1129191e+01  1.0000000e-04  3.5000000e-01  1.3485912e+02 -4.5028484e+01  1.2136862e+01  1.1511006e+01  3.8470974e+00  1.0000000e+00  3.0156357e+00  2.7322564e-03  4.8897652e-01  1.3968589e-04  0.0000000e+00
 6.3391991e+00  3.2468931e-02  4.0251702e-03  1.2564882e-01 -5.4422401e+00 -2.3684740e+00  3.2831438e-01 -1.2694505e-01  6.5695205e+01  3.5811605e+01  1.9437366e-02  3.5146489e-01  1.4713636e+02 -5.6891299e+01  1.2739468e+01  1.1610354e+01  5.2434455e+00  1.0000000e+00  3.1695686e+00  5.5818754e-01  3.8962718e-01  2.1021147e-02  0.0000000e+00
 8.0087987e+00  3.0824750e-02  1.3866838e-02  1.1948755e-01 -5.2550287e+00 -2.8893423e+00  3.5330329e-01 -8.6904188e-02  6.0093377e+01  3.0829246e+01  1.0082081e-01  3.4958649e-01  1.7677353e+02 -4.3482075e+01  1.3416656e+01  1.1630082e+01  6.6893829e+00  1.0000000e+00  3.3600567e+00  3.0693002e+00  3.6989700e-01  9.1491890e-02  0.0000000e+00
 9.6783983e+00  3.4360706e-02  2.5426686e-02  1.3270747e-01  1.0727084e+00  7.1275730e-01  4.1870745e-01  1.2961801e-02  5.4793702e+01  2.6250691e+01  2.5198496e-01  3.3464535e-01  2.3726083e+02  7.3448126e+00  1.4181751e+01  1.1587647e+01  8.1760936e+00  9.9999999e-01  3.6000359e+00  8.2190954e+00  4.1232848e-01  2.0273606e-01  0.0000000e+00
 1.1347998e+01  4.2736376e-02  3.6484010e-02  1.6362604e-01  1.7321625e+01  1.3494736e+01  5.3048043e-01  1.5643806e-01  4.9850896e+01  2.2077292e+01  4.6161902e-01  3.0461488e-01  3.4300376e+02  1.0115141e+02  1.5028260e+01  1.1487137e+01  9.6899054e+00  9.9999992e-01  3.8765211e+00  1.6213188e+01  5.1283651e-01  3.4108262e-01  0.0000000e+00
 1.3017597e+01  5.6479507e-02  4.6637387e-02  2.1312236e-01  6.5889696e+01  5.8885025e+01  6.9428934e-01  3.2777839e-01  4.5248357e+01  1.8239083e+01  7.2158086e-01  2.6229263e-01  5.1249195e+02  2.4195069e+02  1.5943022e+01  1.1322179e+01  1.1224447e+01  9.9999972e-01  4.1715479e+00  2.7272492e+01  6.7775408e-01  5.0015293e-01  0.0000000e+00
 1.5279636e+01  8.2358567e-02  5.6747154e-02  3.0228178e-01  2.0569744e+02  2.1577365e+02  9.6786950e-01  5.5132526e-01  3.9618324e+01  1.3684565e+01  1.0971227e+00  1.9249071e-01  8.5320259e+02  4.8600781e+02  1.7268577e+01  1.1011660e+01  1.3302147e+01  9.9999915e-01  4.5993889e+00  4.5719125e+01  9.8830281e-01  7.1432336e-01  0.0000000e+00
 1.7541674e+01  1.0274484e-01  5.5936156e-02  3.6874353e-01  3.2242517e+02  3.8829025e+02  1.1363038e+00  6.3104028e-01  3.5206274e+01  1.0447988e+01  1.2922616e+00  1.3949240e-01  1.1948754e+03  6.6356773e+02  1.8675870e+01  1.0767046e+01  1.5259713e+01  9.9999806e-01  5.0730446e+00  5.9396615e+01  1.2329381e+00  8.0835366e-01  0.0000000e+00
 1.9803712e+01  1.1249853e-01  4.9141504e-02  3.9936464e-01  4.1736721e+02  5.6744196e+02  1.1686808e+00  6.0862754e-01  3.1889971e+01  8.3545208e+00  1.3138167e+00  1.0063824e-01  1.4609771e+03  7.6085007e+02  2.0159412e+01  1.0650010e+01  1.7116635e+01  9.9999590e-01  5.5871580e+00  6.6507146e+01  1.3499824e+00  8.0173863e-01  0.0000000e+00
 2.2065750e+01  1.1656291e-01  4.1671247e-02  4.1189778e-01  4.9592889e+02  7.5126754e+02  1.1369858e+00  5.4947481e-01  2.9242164e+01  6.9243170e+00  1.2605111e+00  7.5968472e-02  1.6789406e+03  8.1138704e+02  2.1701532e+01  1.0601240e+01  1.8935950e+01  9.9999202e-01  6.1307163e+00  7.0016511e+01  1.3987550e+00  7.5751800e-01  0.0000000e+00
 2.4327788e+01  1.2050034e-01  3.5895200e-02  4.2391180e-01  5.8494074e+02  9.7694703e+02  1.1013694e+00  5.0183883e-01  2.6946387e+01  5.7883158e+00  1.2092063e+00  5.1738099e-02  1.9050454e+03  8.6803373e+02  2.3289946e+01  1.0553992e+01  2.0761379e+01  9.9998605e-01  6.6915263e+00  7.3310835e+01  1.4460041e+00  7.1941050e-01  0.0000000e+00
 2.6589826e+01  1.2342149e-01  3.1096042e-02  4.3274271e-01  6.7834146e+02  1.2382843e+03  1.0593465e+00  4.5901388e-01  2.4972068e+01  4.8633508e+00  1.1540970e+00  3.1128730e-02  2.1255555e+03  9.2100124e+02  2.4915981e+01  1.0518939e+01  2.2586678e+01  9.9997712e-01  7.2556736e+00  7.5868697e+01  1.4810578e+00  6.8117450e-01  0.0000000e+00
 2.8851864e+01  1.2386500e-01  2.6751880e-02  4.3407242e-01  7.6122106e+02  1.5077912e+03  1.0047325e+00  4.1366756e-01  2.3306345e+01  4.0839640e+00  1.0864154e+00  1.7606288e-02  2.3134668e+03  9.5249842e+02  2.6573212e+01  1.0513617e+01  2.4404906e+01  9.9996350e-01  7.8071062e+00  7.6847292e+01  1.4863800e+00  6.3586653e-01  0.0000000e+00
 3.1113903e+01  1.2075264e-01  2.2649748e-02  4.2465981e-01  8.1922009e+02  1.7498934e+03  9.3456266e-01  3.6396452e-01  2.1925113e+01  3.3735304e+00  1.0028706e+00  1.1320551e-02  2.4407474e+03  9.5054671e+02  2.8256892e+01  1.0550966e+01  2.6213147e+01  9.9994204e-01  8.3274371e+00  7.5665660e+01  1.4490317e+00  5.8057140e-01  0.0000000e+00
 3.3375941e+01  1.1481001e-01  1.8919216e-02  4.0647629e-01  8.5029167e+02  1.9483096e+03  8.5761962e-01  3.1474623e-01  2.0764029e+01  2.7233421e+00  9.1349971e-01  9.7403335e-03  2.5060858e+03  9.1973299e+02  2.9962422e+01  1.0622278e+01  2.8016316e+01  9.9990859e-01  8.7871015e+00  7.2727161e+01  1.3777201e+00  5.2020488e-01  0.0000000e+00
