#r_[m]          a_[-]          a_prime_[-]    Ct_[-]         Cq_[-]         Cp_[-]         cn_[-]         ct_[-]         phi_[deg]      alpha_[deg]    Cl_[-]         Cd_[-]         Pn_[N/m]       Pt_[N/m]       Vrel_[m/s]     Un_[m/s]       Ut_[m/s]       F_[-]          Re_[-]         Gamma_[m^2/s]  uia_[m/s]      uit_[m/s]      u_turb_[m/s]  
 3.0000000e+00  6.0537949e-02  7.3303302e-05  1.9820318e-01 -2.9119953e-01 -5.9917667e-02  3.4075856e-01 -7.9897502e-02  7.6787885e+01  4.5975928e+01  1.0000000e-04  3.5000000e-01  1.0983963e+02 -2.5754048e+01  1.0814261e+01  1.0528014e+01  2.4716721e+00  1.0000000e+00  2.6855719e+00  2.4332087e-03  7.2645538e-01  1.8116845e-04 -7.4551532e-01
 4.6695996e+00  4.0744089e-02  3.7118308e-05  1.5951473e-01 -3.2002406e+00 -1.0249561e+00  3.3233261e-01 -1.0979547e-01  7.1701198e+01  4.1310550e+01  1.0000000e-04  3.5000000e-01  1.3759658e+02 -4.5458917e+01  1.2252981e+01  1.1633373e+01  3.8471005e+00  1.0000000e+00  3.0444878e+00  2.7583973e-03  4.8892907e-01  1.4279256e-04  1.2231966e-01
 6.3391991e+00  3.2472090e-02  4.0593994e-03  1.2671060e-01 -5.4567525e+00 -2.3725295e+00  3.2854451e-01 -1.2642578e-01  6.5793901e+01  3.5910301e+01  1.9399884e-02  3.5149483e-01  1.4837971e+02 -5.7097350e+01  1.2788700e+01  1.1664272e+01  5.2436243e+00  1.0000000e+00  3.1818175e+00  5.5926412e-01  3.8966508e-01  2.1199907e-02  5.3956260e-02
 8.0087987e+00  3.0826314e-02  1.3940064e-02  1.1998657e-01 -5.2559435e+00 -2.8870947e+00  3.5341698e-01 -8.6668166e-02  6.0154293e+01  3.0890162e+01  1.0071038e-01  3.4967464e-01  1.7751179e+02 -4.3531076e+01  1.3442480e+01  1.1659587e+01  6.6898660e+00  1.0000000e+00  3.3665241e+00  3.0718395e+00  3.6991577e-01  9.1975028e-02  2.9523175e-02
 9.6783983e+00  3.4354711e-02  2.5522115e-02  1.3299381e-01  1.0777826e+00  7.1544724e-01  4.1866440e-01  1.3006117e-02  5.4835554e+01  2.6292543e+01  2.5175189e-01  3.3476862e-01  2.3777277e+02  7.3865860e+00  1.4197773e+01  1.1606714e+01  8.1768545e+00  9.9999999e-01  3.6041030e+00  8.2207701e+00  4.1225653e-01  2.0349695e-01  1.8994872e-02
 1.1347998e+01  4.2747883e-02  3.6641830e-02  1.6390221e-01  1.7375891e+01  1.3524129e+01  5.3057725e-01  1.5684161e-01  4.9879864e+01  2.2106260e+01  4.6183595e-01  3.0466222e-01  3.4358267e+02  1.0156497e+02  1.5039564e+01  1.1500679e+01  9.6913809e+00  9.9999992e-01  3.8794370e+00  1.6233009e+01  5.1297459e-01  3.4255805e-01  1.3679661e-02
 1.3017597e+01  5.6461244e-02  4.6769064e-02  2.1325302e-01  6.5881110e+01  5.8821313e+01  6.9397355e-01  3.2769780e-01  4.5271556e+01  1.8262282e+01  7.2119510e-01  2.6241715e-01  5.1280615e+02  2.4214964e+02  1.5951537e+01  1.1332772e+01  1.1225854e+01  9.9999972e-01  4.1737758e+00  2.7272469e+01  6.7753493e-01  5.0156507e-01  1.0357916e-02
 1.5279636e+01  8.2384395e-02  5.6919879e-02  3.0249233e-01  2.0574860e+02  2.1562189e+02  9.6784126e-01  5.5158743e-01  3.9632115e+01  1.3698356e+01  1.0972218e+00  1.9253486e-01  8.5379689e+02  4.8659181e+02  1.7274843e+01  1.1018858e+01  1.3304321e+01  9.9999915e-01  4.6010576e+00  4.5739844e+01  9.8861275e-01  7.1649758e-01  7.5079027e-03
 1.7541674e+01  1.0282157e-01  5.6106254e-02  3.6902521e-01  3.2248981e+02  3.8799845e+02  1.1365933e+00  6.3144670e-01  3.5213854e+01  1.0455568e+01  1.2927140e+00  1.3949823e-01  1.1957882e+03  6.6433307e+02  1.8680622e+01  1.0771805e+01  1.5262171e+01  9.9999806e-01  5.0743355e+00  5.9432529e+01  1.2338589e+00  8.1081182e-01  5.6795443e-03
 1.9803712e+01  1.1259685e-01  4.9281309e-02  3.9962270e-01  4.1734247e+02  5.6686828e+02  1.1690111e+00  6.0894989e-01  3.1894435e+01  8.3589848e+00  1.3142595e+00  1.0064139e-01  1.4619212e+03  7.6152977e+02  2.0163076e+01  1.0653280e+01  1.7118915e+01  9.9999590e-01  5.5881734e+00  6.6541654e+01  1.3511622e+00  8.0401953e-01  4.4491453e-03
 2.2065750e+01  1.1666583e-01  4.1780273e-02  4.1209448e-01  4.9577058e+02  7.5031291e+02  1.1372307e+00  5.4967861e-01  2.9244867e+01  6.9270196e+00  1.2608207e+00  7.5969706e-02  1.6797424e+03  8.1190079e+02  2.1704377e+01  1.0603523e+01  1.8937932e+01  9.9999201e-01  6.1315199e+00  7.0042887e+01  1.3999900e+00  7.5949992e-01  3.5178568e-03
 2.4327788e+01  1.2060505e-01  3.5982347e-02  4.2405360e-01  5.8462941e+02  9.7549772e+02  1.1015228e+00  5.0195163e-01  2.6947901e+01  5.7898297e+00  1.2093929e+00  5.1739055e-02  1.9056827e+03  8.6839825e+02  2.3292218e+01  1.0555570e+01  2.0763125e+01  9.9998604e-01  6.6921791e+00  7.3329299e+01  1.4472606e+00  7.2115710e-01  2.8347679e-03
 2.6589826e+01  1.2352669e-01  3.1166926e-02  4.3283812e-01  6.7787095e+02  1.2362477e+03  1.0594225e+00  4.5906420e-01  2.4972761e+01  4.8640429e+00  1.1541867e+00  3.1129127e-02  2.1260242e+03  9.2123923e+02  2.4917834e+01  1.0519994e+01  2.2588231e+01  9.9997711e-01  7.2562132e+00  7.5880240e+01  1.4823203e+00  6.8272725e-01  2.3176382e-03
 2.8851864e+01  1.2396901e-01  2.6809889e-02  4.3413094e-01  7.6060592e+02  1.5051388e+03  1.0047519e+00  4.1367927e-01  2.3306512e+01  4.0841303e+00  1.0864378e+00  1.7606359e-02  2.3137787e+03  9.5263542e+02  2.6574747e+01  1.0514295e+01  2.4406285e+01  9.9996349e-01  7.8075571e+00  7.6853314e+01  1.4876281e+00  6.3724533e-01  1.9260986e-03
 3.1113903e+01  1.2085311e-01  2.2696984e-02  4.2469029e-01  8.1849271e+02  1.7466757e+03  9.3454529e-01  3.6395489e-01  2.1924971e+01  3.3733881e+00  1.0028509e+00  1.1320498e-02  2.4409227e+03  9.5060749e+02  2.8258169e+01  1.0551378e+01  2.6214358e+01  9.9994204e-01  8.3278134e+00  7.5667594e+01  1.4502373e+00  5.8178217e-01  1.6173285e-03
 3.3375941e+01  1.1490515e-01  1.8957496e-02  4.0648681e-01  8.4948896e+02  1.9446177e+03  8.5758091e-01  3.1472632e-01  2.0763717e+01  2.7230297e+00  9.1345652e-01  9.7402490e-03  2.5061506e+03  9.1974011e+02  2.9963486e+01  1.0622502e+01  2.8017368e+01  9.9990860e-01  8.7874134e+00  7.2726304e+01  1.3788618e+00  5.2125743e-01  1.3660828e-03
 3.5637979e+01  1.0674016e-01  1.5638046e-02  3.8105035e-01  8.5843534e+02  2.0982809e+03  7.7764133e-01  2.6983118e-01  1.9774228e+01  2.1750513e+00  8.2307403e-01  9.1674177e-03  2.5085493e+03  8.7043316e+02  3.1687277e+01  1.0720271e+01  2.9818774e+01  9.9985719e-01  9.1723310e+00  6.8400802e+01  1.2808819e+00  4.5912751e-01  1.1544479e-03
 3.7900017e+01  9.7339605e-02  1.2775352e-02  3.5110961e-01  8.4897872e+02  2.2068823e+03  6.9851306e-01  2.3001890e-01  1.8910141e+01  1.6981475e+00  7.3535857e-01  8.7731887e-03  2.4581553e+03  8.0946543e+02  3.3426145e+01  1.0832908e+01  3.1622070e+01  9.9978029e-01  9.4857096e+00  6.3199197e+01  1.1680753e+00  3.9888716e-01  9.8458704e-04
 4.0162055e+01  8.7730954e-02  1.0384318e-02  3.1977668e-01  8.2583016e+02  2.2748336e+03  6.2423451e-01  1.9551207e-01  1.8133126e+01  1.2690485e+00  6.5408092e-01  8.4758156e-03  2.3724110e+03  7.4304603e+02  3.5177351e+01  1.0948103e+01  3.3430301e+01  9.9966906e-01  9.7342020e+00  5.7686530e+01  1.0527715e+00  3.4358301e-01  8.7656543e-04
 4.2424093e+01  7.8584016e-02  8.4325837e-03  2.8925603e-01  7.9357153e+02  2.3090940e+03  5.5692154e-01  1.6606811e-01  1.7418700e+01  8.7833072e-01  5.8109547e-01  8.2630325e-03  2.2668469e+03  6.7594975e+02  3.6938893e+01  1.1057740e+01  3.5244975e+01  9.9951295e-01  9.9280882e+00  5.2270384e+01  9.4300819e-01  2.9472094e-01  7.4959000e-04
 4.4686131e+01  7.0270451e-02  6.8651495e-03  2.6092837e-01  7.5664777e+02  2.3190467e+03  4.9729074e-01  1.4127035e-01  1.6752347e+01  5.2653621e-01  5.1690462e-01  8.0620688e-03  2.1538788e+03  6.1187387e+02  3.8709364e+01  1.1157412e+01  3.7066521e+01  9.9929915e-01  1.0081292e+01  4.7213825e+01  8.4324541e-01  2.5273217e-01  6.5940041e-04
 4.6948169e+01  6.3049286e-02  5.6275307e-03  2.3586158e-01  7.1927176e+02  2.3160858e+03  4.4577928e-01  1.2065131e-01  1.6123822e+01  2.1848099e-01  4.6175058e-01  7.8938435e-03  2.0455169e+03  5.5362443e+02  4.0487613e+01  1.1243981e+01  3.8894983e+01  9.9901258e-01  1.0211331e+01  4.2720112e+01  7.5659144e-01  2.1765784e-01  5.7365920e-04
 4.9210208e+01  5.7225936e-02  4.6794276e-03  2.1532439e-01  6.8731957e+02  2.3198338e+03  4.0350519e-01  1.0404421e-01  1.5523806e+01 -4.0176600e-02  4.1663131e-01  7.7450090e-03  1.9573821e+03  5.0471291e+02  4.2272705e+01  1.1313813e+01  4.0730569e+01  9.9863659e-01  1.0339220e+01  3.9028537e+01  6.8671123e-01  1.8970802e-01  5.2591286e-04
 5.1472246e+01  5.2510624e-02  3.9446419e-03  1.9847071e-01  6.6086084e+02  2.3330611e+03  3.6944447e-01  9.0830196e-02  1.4953902e+01 -2.6226585e-01  3.8037076e-01  7.5780058e-03  1.8871079e+03  4.6395708e+02  4.4063947e+01  1.1370341e+01  4.2571666e+01  9.9814660e-01  1.0444448e+01  3.5994421e+01  6.3012749e-01  1.6727016e-01  4.7003530e-04
 5.3734284e+01  4.8368480e-02  3.3479991e-03  1.8349459e-01  6.3567696e+02  2.3427768e+03  3.4079993e-01  7.9987748e-02  1.4419202e+01 -4.5933139e-01  3.4998276e-01  7.3960038e-03  1.8213858e+03  4.2748995e+02  4.5860766e+01  1.1419995e+01  4.4416141e+01  9.9750662e-01  1.0499835e+01  3.3294439e+01  5.8042175e-01  1.4820900e-01  4.1821571e-04
 5.5996322e+01  4.4639169e-02  2.8551668e-03  1.6986709e-01  6.1077590e+02  2.3457643e+03  3.1610097e-01  7.0907666e-02  1.3918354e+01 -6.2909356e-01  3.2387614e-01  7.2088286e-03  1.7570978e+03  3.9415160e+02  4.7662579e+01  1.1464708e+01  4.6263180e+01  9.9667309e-01  1.0507851e+01  3.0834395e+01  5.3567003e-01  1.3171304e-01  3.8015642e-04
 5.8258360e+01  4.1361186e-02  2.4506184e-03  1.5776122e-01  5.8744475e+02  2.3472982e+03  2.9529292e-01  6.3374859e-02  1.3447285e+01 -7.7199481e-01  3.0193511e-01  7.0331643e-03  1.6977968e+03  3.6437593e+02  4.9468844e+01  1.1504011e+01  4.8112620e+01  9.9559375e-01  1.0471822e+01  2.8646954e+01  4.9633423e-01  1.1761744e-01  3.4729536e-04
