#r_[m]          a_[-]          a_prime_[-]    Ct_[-]         Cq_[-]         Cp_[-]         cn_[-]         ct_[-]         phi_[deg]      alpha_[deg]    Cl_[-]         Cd_[-]         Pn_[N/m]       Pt_[N/m]       Vrel_[m/s]     Un_[m/s]       Ut_[m/s]       F_[-]          Re_[-]         Gamma_[m^2/s]  uia_[m/s]      uit_[m/s]      u_turb_[m/s]  
 3.0000000e+00  5.9621591e-02  1.1681069e-04  1.9966861e-01 -1.8298071e-01 -2.3779197e-02  3.4631582e-01 -5.0649390e-02  8.1662997e+01  4.1801040e+01  1.0000000e-04  3.5000000e-01  2.7739777e+02 -4.0569985e+01  1.7047316e+01  1.6867166e+01  2.4717796e+00  1.0000000e+00  4.2334648e+00  3.8356461e-03  1.1328102e+00  2.8869657e-04 -1.0000000e+00
 4.6695996e+00  3.9575226e-02  5.6272919e-05  1.5291624e-01 -1.9483156e+00 -3.9410284e-01  3.4254152e-01 -7.1870146e-02  7.8134036e+01  3.8693388e+01  1.0000000e-04  3.5000000e-01  3.3067789e+02 -6.9380986e+01  1.8709854e+01  1.8310049e+01  3.8471742e+00  1.0000000e+00  4.6488215e+00  4.2119718e-03  7.5192929e-01  2.1647954e-04  6.2005711e-02
 6.3391991e+00  3.0567337e-02  6.1672029e-03  1.1899144e-01 -2.9959795e+00 -8.2270447e-01  3.4324463e-01 -7.7223056e-02  7.4114611e+01  3.5181011e+01  1.9676850e-02  3.5127353e-01  3.4931884e+02 -7.8589632e+01  1.9197530e+01  1.8464399e+01  5.2546321e+00  1.0000000e+00  4.7763290e+00  8.5151518e-01  5.8077940e-01  3.2207751e-02  4.5207211e-02
 8.0087987e+00  2.7118898e-02  2.0116480e-02  1.0580900e-01 -1.3824937e+00 -4.7962427e-01  3.6365172e-01 -2.6599921e-02  7.0026123e+01  3.1711992e+01  9.9220502e-02  3.5086382e-01  3.9242971e+02 -2.8704936e+01  1.9703693e+01  1.8518485e+01  6.7306172e+00  1.0000000e+00  4.9345772e+00  4.4360246e+00  5.1525907e-01  1.3272635e-01  3.3774830e-02
 9.6783983e+00  2.7097129e-02  3.4736400e-02  1.0563335e-01  5.4227098e+00  2.2734765e+00  4.0914489e-01  8.0514547e-02  6.5977326e+01  2.8384315e+01  2.4010285e-01  3.4092925e-01  4.7345255e+02  9.3169481e+01  2.0266178e+01  1.8510811e+01  8.2503230e+00  9.9999992e-01  5.1445668e+00  1.1191510e+01  5.1484545e-01  2.7696575e-01  2.5689641e-02
 1.1347998e+01  2.9856290e-02  4.8765535e-02  1.1598639e-01  2.0637836e+01  1.0145046e+01  4.8761158e-01  2.4192545e-01  6.2016124e+01  2.5192520e+01  4.4243805e-01  3.1708287e-01  6.0953434e+02  3.0241667e+02  2.0895657e+01  1.8452530e+01  9.8047241e+00  9.9999932e-01  5.3900089e+00  2.1606505e+01  5.6726951e-01  4.5590043e-01  1.9835819e-02
 1.3017597e+01  3.4784102e-02  5.9808870e-02  1.3438345e-01  6.3301164e+01  3.5695474e+01  5.9853856e-01  4.3094606e-01  5.8233003e+01  2.2173729e+01  6.8149895e-01  2.8199662e-01  8.1011849e+02  5.8328301e+02  2.1588655e+01  1.8354590e+01  1.1365696e+01  9.9999686e-01  5.6487476e+00  3.4878672e+01  6.6089794e-01  6.4140774e-01  1.5524459e-02
 1.5279636e+01  4.5134272e-02  7.1731687e-02  1.7242043e-01  1.8270620e+02  1.2093080e+02  8.0677977e-01  7.1632032e-01  5.3382512e+01  1.8398753e+01  1.0561639e+00  2.2028655e-01  1.2200388e+03  1.0832431e+03  2.2617688e+01  1.8153758e+01  1.3490770e+01  9.9998635e-01  6.0240945e+00  5.7645536e+01  8.5755117e-01  9.0294606e-01  1.1361800e-02
 1.7541674e+01  5.8553346e-02  7.8910117e-02  2.2047548e-01  3.2205043e+02  2.4471779e+02  1.0544985e+00  9.7922215e-01  4.8936206e+01  1.5127920e+01  1.4310115e+00  1.5181940e-01  1.7910315e+03  1.6631770e+03  2.3735335e+01  1.7895936e+01  1.5591716e+01  9.9996145e-01  6.4473792e+00  8.3592811e+01  1.1125136e+00  1.1403587e+00  8.4929662e-03
 1.9803712e+01  6.6784809e-02  7.3872678e-02  2.4920939e-01  4.4258521e+02  3.7967684e+02  1.1953581e+00  1.0588904e+00  4.5353301e+01  1.2767851e+01  1.5933691e+00  1.0632433e-01  2.2855089e+03  2.0245845e+03  2.4931394e+01  1.7737528e+01  1.7520117e+01  9.9991107e-01  6.9097073e+00  9.9751313e+01  1.2689114e+00  1.2052252e+00  6.4728567e-03
