#r_[m]          a_[-]          a_prime_[-]    Ct_[-]         Cq_[-]         Cp_[-]         cn_[-]         ct_[-]         phi_[deg]      alpha_[deg]    Cl_[-]         Cd_[-]         Pn_[N/m]       Pt_[N/m]       Vrel_[m/s]     Un_[m/s]       Ut_[m/s]       F_[-]          Re_[-]         Gamma_[m^2/s]  uia_[m/s]      uit_[m/s]      u_turb_[m/s]  
 3.0000000e+00  6.0844535e-02  6.6654278e-05  1.9657625e-01 -3.1729642e-01 -7.1233486e-02  3.3893540e-01 -8.7308684e-02  7.5538462e+01  4.6344805e+01  1.0000000e-04  3.5000000e-01  9.1538200e+01 -2.3579950e+01  9.8988198e+00  9.5851806e+00  2.4720327e+00  1.0000000e+00  2.4582348e+00  2.2272344e-03  6.6928989e-01  1.6476057e-04 -7.4551532e-01
 4.6695996e+00  4.1106806e-02  3.4388436e-05  1.6118303e-01 -3.5263844e+00 -1.2322734e+00  3.2928123e-01 -1.1863339e-01  7.0170561e+01  4.1398214e+01  1.0000000e-04  3.5000000e-01  1.1682856e+02 -4.2090975e+01  1.1342674e+01  1.0670128e+01  3.8476768e+00  1.0000000e+00  2.8183046e+00  2.5534685e-03  4.5217487e-01  1.3231104e-04  1.2231966e-01
 6.3391991e+00  3.3037319e-02  3.8028296e-03  1.2895009e-01 -6.1098564e+00 -2.8984324e+00  3.2409461e-01 -1.3721490e-01  6.3874728e+01  3.5609428e+01  1.9514148e-02  3.5140354e-01  1.2688378e+02 -5.3719948e+01  1.1907028e+01  1.0690528e+01  5.2430840e+00  1.0000000e+00  2.9624584e+00  5.2377458e-01  3.6341051e-01  1.9863020e-02  5.3956260e-02
 8.0087987e+00  3.1904765e-02  1.3204568e-02  1.2410406e-01 -6.2671205e+00 -3.7560658e+00  3.4966418e-01 -9.8852425e-02  5.7948578e+01  3.0302747e+01  1.0177528e-01  3.4882465e-01  1.5427781e+02 -4.3615378e+01  1.2598988e+01  1.0678551e+01  6.6860330e+00  1.0000000e+00  3.1552806e+00  2.9095303e+00  3.5095242e-01  8.7135589e-02  2.9523175e-02
 9.6783983e+00  3.6561466e-02  2.4506142e-02  1.4125632e-01  2.6365240e-02  1.9095586e-02  4.1968699e-01  3.0028335e-04  5.2420444e+01  2.5495732e+01  2.5618930e-01  3.3242187e-01  2.1220786e+02  1.5183336e-01  1.3396464e+01  1.0616795e+01  8.1699999e+00  9.9999999e-01  3.4006906e+00  7.8935197e+00  4.0217613e-01  1.9542604e-01  1.8994872e-02
 1.1347998e+01  4.7145383e-02  3.5772299e-02  1.7996721e-01  1.7251614e+01  1.4650308e+01  5.4293550e-01  1.4512258e-01  4.7299457e+01  2.1144153e+01  4.7485251e-01  3.0059044e-01  3.1700251e+02  8.4732390e+01  1.4280755e+01  1.0495044e+01  9.6847316e+00  9.9999996e-01  3.6837032e+00  1.5848419e+01  5.1859922e-01  3.3447996e-01  1.3679661e-02
 1.3017597e+01  6.4961531e-02  4.6788684e-02  2.4320189e-01  7.0420210e+01  6.8600286e+01  7.2917600e-01  3.2272129e-01  4.2520470e+01  1.7129495e+01  7.5554124e-01  2.5495902e-01  4.9141438e+02  2.1749191e+02  1.5233690e+01  1.0295744e+01  1.1227777e+01  9.9999987e-01  3.9859487e+00  2.7285534e+01  7.1457684e-01  5.0185202e-01  1.0357916e-02
 1.5279636e+01  9.1854152e-02  5.3491811e-02  3.3384098e-01  2.0261490e+02  2.3167658e+02  9.7095908e-01  4.9376508e-01  3.7007062e+01  1.2691603e+01  1.0725742e+00  1.9013164e-01  7.9177670e+02  4.0264486e+02  1.6608858e+01  9.9970952e+00  1.3263192e+01  9.9999962e-01  4.4236763e+00  4.2988597e+01  1.0103957e+00  6.7344837e-01  7.5079027e-03
 1.7541674e+01  1.1380810e-01  5.1943968e-02  4.0349958e-01  3.1344605e+02  4.1146377e+02  1.1167857e+00  5.5151994e-01  3.2680685e+01  9.5406987e+00  1.2377874e+00  1.3880543e-01  1.0986622e+03  5.4256972e+02  1.8063999e+01  9.7537758e+00  1.5204339e+01  9.9999918e-01  4.9068384e+00  5.5028844e+01  1.2518892e+00  7.5077562e-01  5.6795443e-03
 1.9803712e+01  1.2335690e-01  4.5071159e-02  4.3254295e-01  4.0204263e+02  5.9582192e+02  1.1260196e+00  5.2204666e-01  2.9498706e+01  7.5815559e+00  1.2371079e+00  1.0008436e-01  1.3296150e+03  6.1643783e+02  1.9592692e+01  9.6475179e+00  1.7052829e+01  9.9999829e-01  5.4300921e+00  6.0863560e+01  1.3569259e+00  7.3544353e-01  4.4491453e-03
