#r_[m]          a_[-]          a_prime_[-]    Ct_[-]         Cq_[-]         Cp_[-]         cn_[-]         ct_[-]         phi_[deg]      alpha_[deg]    Cl_[-]         Cd_[-]         Pn_[N/m]       Pt_[N/m]       Vrel_[m/s]     Un_[m/s]       Ut_[m/s]       F_[-]          Re_[-]         Gamma_[m^2/s]  uia_[m/s]      uit_[m/s]      u_turb_[m/s]  
 3.0000000e+00  6.1948504e-02  5.6818695e-05  2.3243839e-01 -4.8363647e-01 -1.5063980e-01  3.3219715e-01 -1.1020465e-01  7.1630639e+01  5.1628682e+01  1.0000000e-04  3.5000000e-01  3.2203000e+01 -1.0683175e+01  5.9304945e+00  5.6283042e+00  1.8689454e+00  1.0000000e+00  1.4727562e+00  1.3343613e-03  3.7169103e-01  1.0618501e-04  0.0000000e+00
 4.6695996e+00  4.3215099e-02  2.5463021e-05  1.6538428e-01 -5.0903376e+00 -2.4678892e+00  3.1224980e-01 -1.5811410e-01  6.3127319e+01  4.3546672e+01  1.0000000e-04  3.5000000e-01  3.5664905e+01 -1.8059657e+01  6.4356717e+00  5.7407038e+00  2.9089843e+00  1.0000000e+00  1.5990659e+00  1.4488016e-03  2.5929059e-01  7.4069643e-05  0.0000000e+00
 6.3391991e+00  3.6179253e-02  2.8881144e-03  1.3947477e-01 -9.4939662e+00 -6.2485825e+00  3.0098939e-01 -1.8289835e-01  5.5595011e+01  3.6521412e+01  1.9167799e-02  3.5168027e-01  4.0831680e+01 -2.4811661e+01  7.0090516e+00  5.7829183e+00  3.9603864e+00  1.0000000e+00  1.7438460e+00  3.0284677e-01  2.1707552e-01  1.1405110e-02  0.0000000e+00
 8.0087987e+00  3.7819976e-02  1.0554544e-02  1.4555091e-01 -1.2081924e+01 -1.0046225e+01  3.2967142e-01 -1.5305343e-01  4.8868809e+01  3.0414678e+01  1.0157237e-01  3.4898661e-01  5.3833115e+01 -2.4992591e+01  7.6646726e+00  5.7730729e+00  5.0417095e+00  1.0000000e+00  1.9195346e+00  1.7665018e+00  2.2691986e-01  5.2657175e-02  0.0000000e+00
 9.6783983e+00  4.8379967e-02  2.0393805e-02  1.8414594e-01 -7.7934160e+00 -7.8312445e+00  4.1467054e-01 -6.7210520e-02  4.2864215e+01  2.5131204e+01  2.5821936e-01  3.3134827e-01  8.2306257e+01 -1.3340341e+01  8.3933826e+00  5.7097095e+00  6.1520801e+00  1.0000000e+00  2.1306592e+00  4.9847726e+00  2.9027980e-01  1.2295677e-01  0.0000000e+00
 1.1347998e+01  6.9271701e-02  3.0446242e-02  2.5788291e-01  8.7565471e+00  1.0316956e+01  5.6032202e-01  5.3001099e-02  3.7474376e+01  2.0510772e+01  4.7693206e-01  2.9884056e-01  1.3514781e+02  1.2783689e+01  9.1786666e+00  5.5843610e+00  7.2844241e+00  1.0000000e+00  2.3676258e+00  1.0230860e+01  4.1563021e-01  2.1523040e-01  0.0000000e+00
 1.3017597e+01  1.0547946e-01  4.1052791e-02  3.7737453e-01  6.2953029e+01  8.5083805e+01  7.8061294e-01  1.9885253e-01  3.2446049e+01  1.6246775e+01  7.6544235e-01  2.5099185e-01  2.2686664e+02  5.7791772e+01  1.0003796e+01  5.3670885e+00  8.4421733e+00  1.0000000e+00  2.6175284e+00  1.8152919e+01  6.3287675e-01  3.3290798e-01  0.0000000e+00
 1.5279636e+01  1.5733027e-01  4.6119821e-02  5.3027781e-01  1.8969779e+02  3.0093639e+02  1.0149663e+00  3.0393774e-01  2.6919791e+01  1.1796032e+01  1.0425914e+00  1.8851523e-01  3.7418266e+02  1.1205123e+02  1.1167472e+01  5.0559920e+00  9.9573784e+00  1.0000000e+00  2.9743937e+00  2.8096691e+01  9.4398159e-01  4.3898664e-01  0.0000000e+00
 1.7541674e+01  2.0425870e-01  4.4711553e-02  6.5014893e-01  2.9365570e+02  5.3482155e+02  1.1408917e+00  3.2728650e-01  2.2695670e+01  8.7473839e+00  1.1788283e+00  1.3825364e-01  5.2668517e+02  1.5108967e+02  1.2374284e+01  4.7744482e+00  1.1416109e+01  1.0000000e+00  3.3613051e+00  3.5900547e+01  1.2255522e+00  4.8858651e-01  0.0000000e+00
 1.9803712e+01  2.3270541e-01  3.9435152e-02  7.1421732e-01  3.8168913e+02  7.8479428e+02  1.1439559e+00  3.0464611e-01  1.9749163e+01  7.0237128e+00  1.1796103e+00  9.9818967e-02  6.5319700e+02  1.7395245e+02  1.3624532e+01  4.6037697e+00  1.2823150e+01  1.0000000e+00  3.7760233e+00  4.0356714e+01  1.3962325e+00  4.8649771e-01  0.0000000e+00
 2.2065750e+01  2.5638418e-01  3.4406054e-02  7.6261082e-01  4.6155460e+02  1.0574046e+03  1.1160468e+00  2.7112233e-01  1.7421362e+01  5.9135146e+00  1.1460254e+00  7.5454931e-02  7.7712139e+02  1.8878686e+02  1.4902306e+01  4.4616990e+00  1.4218719e+01  9.9999999e-01  4.2099245e+00  4.3713054e+01  1.5383051e+00  4.7293803e-01  0.0000000e+00
 2.4327788e+01  2.8351805e-01  3.0511462e-02  8.1255332e-01  5.5692015e+02  1.4066790e+03  1.0910738e+00  2.4693924e-01  1.5390370e+01  5.0422986e+00  1.1174841e+00  5.1480516e-02  9.1289683e+02  2.0661301e+02  1.6198176e+01  4.2988997e+00  1.5617309e+01  9.9999999e-01  4.6539617e+00  4.7120159e+01  1.7011083e+00  4.6239840e-01  0.0000000e+00
