#r_[m]          a_[-]          a_prime_[-]    Ct_[-]         Cq_[-]         Cp_[-]         cn_[-]         ct_[-]         phi_[deg]      alpha_[deg]    Cl_[-]         Cd_[-]         Pn_[N/m]       Pt_[N/m]       Vrel_[m/s]     Un_[m/s]       Ut_[m/s]       F_[-]          Re_[-]         Gamma_[m^2/s]  uia_[m/s]      uit_[m/s]      u_turb_[m/s]  
 3.0000000e+00  6.2979043e-02  4.3224481e-05  1.7629842e-01 -4.2435446e-01 -1.3204924e-01  3.2672326e-01 -1.2550666e-01  6.8969974e+01  4.8968017e+01  1.0000000e-04  3.5000000e-01  2.4425130e+01 -9.3826088e+00  5.2079776e+00  4.8610872e+00  1.8689200e+00  1.0000000e+00  1.2933291e+00  1.1717950e-03  3.7787426e-01  8.0779605e-05 -7.6103356e-01
 4.6695996e+00  4.3187738e-02  2.5877665e-05  1.6776224e-01 -5.1177758e+00 -2.4788302e+00  3.1275350e-01 -1.5711543e-01  6.3310421e+01  4.3729774e+01  1.0000000e-04  3.5000000e-01  3.6177709e+01 -1.8174301e+01  6.4765523e+00  5.7864957e+00  2.9089856e+00  1.0000000e+00  1.6092234e+00  1.4580047e-03  2.5912643e-01  7.5275807e-05  4.5627709e-02
 6.3391991e+00  3.6126765e-02  2.9171337e-03  1.4110710e-01 -9.5299524e+00 -6.2662975e+00  3.0159241e-01 -1.8200461e-01  5.5782230e+01  3.6708631e+01  1.9096697e-02  3.5173708e-01  4.1309551e+01 -2.4929435e+01  7.0428958e+00  5.8238143e+00  3.9605010e+00  1.0000000e+00  1.7522664e+00  3.0318030e-01  2.1676059e-01  1.1519707e-02  4.0581033e-02
 8.0087987e+00  3.7721460e-02  1.0639629e-02  1.4670835e-01 -1.2106854e+01 -1.0057373e+01  3.3008718e-01 -1.5249629e-01  4.9030765e+01  3.0576634e+01  1.0127876e-01  3.4922096e-01  5.4261201e+01 -2.5068020e+01  7.6902397e+00  5.8066058e+00  5.0421340e+00  1.0000000e+00  1.9259376e+00  1.7672710e+00  2.2632876e-01  5.3081668e-02  3.2941742e-02
 9.6783983e+00  4.8183359e-02  2.0513175e-02  1.8492576e-01 -7.8014784e+00 -7.8318847e+00  4.1455197e-01 -6.7040986e-02  4.2995958e+01  2.5262947e+01  2.5748568e-01  3.3173628e-01  8.2654808e+01 -1.3366864e+01  8.4123388e+00  5.7367672e+00  6.1527998e+00  1.0000000e+00  2.1354712e+00  4.9818354e+00  2.8910015e-01  1.2367646e-01  2.5877798e-02
 1.1347998e+01  6.9174899e-02  3.0748441e-02  2.5917244e-01  9.0477403e+00  1.0649893e+01  5.6136412e-01  5.4644489e-02  3.7569259e+01  2.0605655e+01  4.7826452e-01  2.9896278e-01  1.3582361e+02  1.3221386e+01  9.1930420e+00  5.6051815e+00  7.2865604e+00  1.0000000e+00  2.3713339e+00  1.0275512e+01  4.1504939e-01  2.1736671e-01  2.0239712e-02
 1.3017597e+01  1.0494054e-01  4.1207279e-02  3.7751624e-01  6.2995960e+01  8.5060792e+01  7.7915216e-01  1.9873036e-01  3.2533845e+01  1.6334571e+01  7.6375959e-01  2.5148187e-01  2.2695183e+02  5.7886278e+01  1.0015049e+01  5.3860704e+00  8.4434265e+00  1.0000000e+00  2.6204729e+00  1.8133387e+01  6.2964322e-01  3.3416077e-01  1.5751428e-02
 1.5279636e+01  1.5695048e-01  4.6362764e-02  5.3111439e-01  1.9045611e+02  3.0185181e+02  1.0150675e+00  3.0499272e-01  2.6976834e+01  1.1853075e+01  1.0429719e+00  1.8865882e-01  3.7477298e+02  1.1260633e+02  1.1175721e+01  5.0696447e+00  9.9596910e+00  1.0000000e+00  2.9765907e+00  2.8127707e+01  9.4170290e-01  4.4129906e-01  1.1372517e-02
 1.7541674e+01  2.0434285e-01  4.4993132e-02  6.5201037e-01  2.9502360e+02  5.3680145e+02  1.1430722e+00  3.2881194e-01  2.2723774e+01  8.7754883e+00  1.1813609e+00  1.3826715e-01  5.2819312e+02  1.5193809e+02  1.2380161e+01  4.7823174e+00  1.1419186e+01  1.0000000e+00  3.3629013e+00  3.5994762e+01  1.2260571e+00  4.9166347e-01  8.3740944e-03
 1.9803712e+01  2.3282896e-01  3.9643126e-02  7.1576521e-01  3.8285246e+02  7.8643697e+02  1.1457113e+00  3.0567262e-01  1.9767621e+01  7.0421710e+00  1.1815772e+00  9.9826649e-02  6.5461264e+02  1.7464886e+02  1.3628835e+01  4.6093559e+00  1.2825715e+01  1.0000000e+00  3.7772159e+00  4.0436774e+01  1.3969738e+00  4.8906342e-01  6.3274178e-03
