#r_[m]          a_[-]          a_prime_[-]    Ct_[-]         Cq_[-]         Cp_[-]         cn_[-]         ct_[-]         phi_[deg]      alpha_[deg]    Cl_[-]         Cd_[-]         Pn_[N/m]       Pt_[N/m]       Vrel_[m/s]     Un_[m/s]       Ut_[m/s]       F_[-]          Re_[-]         Gamma_[m^2/s]  uia_[m/s]      uit_[m/s]      u_turb_[m/s]  
 3.0000000e+00  5.9719605e-02  1.1045203e-04  2.2460454e-01 -2.3103599e-01 -3.5687709e-02  3.4538587e-01 -5.6644596e-02  8.0669819e+01  4.4377862e+01  1.0000000e-04  3.5000000e-01  2.2128117e+02 -3.6290954e+01  1.5246166e+01  1.5044466e+01  2.4717639e+00  1.0000000e+00  3.7861742e+00  3.4303874e-03  9.5551368e-01  2.7298119e-04  0.0000000e+00
 4.6695996e+00  3.9875566e-02  4.7378827e-05  1.5313285e-01 -2.3281802e+00 -5.5977567e-01  3.3953957e-01 -8.4928742e-02  7.5940422e+01  4.0069775e+01  1.0000000e-04  3.5000000e-01  2.3482951e+02 -5.8737705e+01  1.5836368e+01  1.5361968e+01  3.8471399e+00  1.0000000e+00  3.9348487e+00  3.5650910e-03  6.3800905e-01  1.8226434e-04  0.0000000e+00
 6.3391991e+00  3.1096992e-02  5.1594406e-03  1.2051016e-01 -3.7561907e+00 -1.2260264e+00  3.3915115e-01 -9.4367794e-02  7.1293075e+01  3.5929476e+01  1.9392602e-02  3.5150065e-01  2.5087810e+02 -6.9806082e+01  1.6367071e+01  1.5502423e+01  5.2493691e+00  1.0000000e+00  4.0721131e+00  7.1548162e-01  4.9755187e-01  2.6944789e-02  0.0000000e+00
 8.0087987e+00  2.8196861e-02  1.7163415e-02  1.0959696e-01 -2.6222710e+00 -1.0813411e+00  3.6157842e-01 -4.8386269e-02  6.6654162e+01  3.1910031e+01  9.8861483e-02  3.5115038e-01  2.8825083e+02 -3.8573603e+01  1.6935325e+01  1.5548824e+01  6.7111332e+00  1.0000000e+00  4.2412694e+00  3.7989674e+00  4.5114977e-01  1.1324234e-01  0.0000000e+00
 9.6783983e+00  2.9155039e-02  3.0212244e-02  1.1320882e-01  3.9040273e+00  1.9455129e+00  4.1362542e-01  5.4627103e-02  6.2129708e+01  2.8106697e+01  2.4164890e-01  3.4011162e-01  3.5982259e+02  4.7521417e+01  1.7571660e+01  1.5533490e+01  8.2142505e+00  9.9999995e-01  4.4605637e+00  9.7660097e+00  4.6648063e-01  2.4089304e-01  0.0000000e+00
 1.1347998e+01  3.3737361e-02  4.3947594e-02  1.3038255e-01  2.0279756e+01  1.1849493e+01  5.0773398e-01  2.1999680e-01  5.7736630e+01  2.4483026e+01  4.5706443e-01  3.1190462e-01  4.8589605e+02  2.1053461e+02  1.8283002e+01  1.5460166e+01  9.7596832e+00  9.9999963e-01  4.7160779e+00  1.9529943e+01  5.3979777e-01  4.1085835e-01  0.0000000e+00
 1.3017597e+01  4.0926592e-02  5.3932382e-02  1.5698805e-01  6.4362294e+01  4.3140000e+01  6.3624283e-01  3.9832645e-01  5.3625955e+01  2.1136681e+01  6.9804402e-01  2.7604971e-01  6.7112298e+02  4.2016353e+02  1.9058424e+01  1.5345129e+01  1.1302678e+01  9.9999841e-01  4.9867037e+00  3.1538349e+01  6.5482548e-01  5.7838658e-01  0.0000000e+00
 1.5279636e+01  5.6427266e-02  6.6464021e-02  2.1295243e-01  1.9597135e+02  1.5417834e+02  8.8566578e-01  6.8226644e-01  4.8356281e+01  1.6942522e+01  1.0983737e+00  2.0848657e-01  1.0685634e+03  8.2316031e+02  2.0202452e+01  1.5097116e+01  1.3424461e+01  9.9999385e-01  5.3808100e+00  5.3547642e+01  9.0283626e-01  8.3663759e-01  0.0000000e+00
 1.7541674e+01  7.1731412e-02  6.9361693e-02  2.6632416e-01  3.2646777e+02  2.9486901e+02  1.1076992e+00  8.6240184e-01  4.3863027e+01  1.3624741e+01  1.3962392e+00  1.4577504e-01  1.5342151e+03  1.1944669e+03  2.1433790e+01  1.4852260e+01  1.5453728e+01  9.9998361e-01  5.8221958e+00  7.3652794e+01  1.1477026e+00  1.0023710e+00  0.0000000e+00
 1.9803712e+01  8.2275586e-02  6.4538799e-02  3.0200164e-01  4.4618931e+02  4.5497082e+02  1.2344384e+00  9.0883751e-01  4.0212700e+01  1.1197250e+01  1.5294525e+00  1.0295029e-01  1.9640863e+03  1.4460303e+03  2.2743102e+01  1.4683560e+01  1.7367837e+01  9.9996402e-01  6.3032247e+00  8.7345666e+01  1.3164094e+00  1.0529439e+00  0.0000000e+00
 2.2065750e+01  8.7142147e-02  5.6172563e-02  3.1816451e-01  5.4182791e+02  6.1559892e+02  1.2635431e+00  8.6369911e-01  3.7261393e+01  9.4635454e+00  1.5285593e+00  7.7612758e-02  2.3055529e+03  1.5759684e+03  2.4123636e+01  1.4605710e+01  1.9199559e+01  9.9992940e-01  6.8149645e+00  9.4381846e+01  1.3942744e+00  1.0211292e+00  0.0000000e+00
 2.4327788e+01  8.9484765e-02  4.8326857e-02  3.2586361e-01  6.3319409e+02  7.9315354e+02  1.2489509e+00  8.0138506e-01  3.4736574e+01  8.0985032e+00  1.4829960e+00  5.3094868e-02  2.6034136e+03  1.6704715e+03  2.5567085e+01  1.4568233e+01  2.1010532e+01  9.9987456e-01  7.3457802e+00  9.8700759e+01  1.4317562e+00  9.6856538e-01  0.0000000e+00
 2.6589826e+01  9.0416507e-02  4.1515485e-02  3.2889392e-01  7.2146464e+02  9.8775296e+02  1.2133798e+00  7.3574128e-01  3.2533250e+01  6.9445320e+00  1.4186492e+00  3.2253853e-02  2.8719443e+03  1.7414234e+03  2.7061410e+01  1.4553327e+01  2.2814920e+01  9.9979351e-01  7.8804346e+00  1.0129028e+02  1.4466641e+00  9.0941767e-01  0.0000000e+00
 2.8851864e+01  8.9275829e-02  3.5284809e-02  3.2511424e-01  7.9433279e+02  1.1800330e+03  1.1550613e+00  6.6255801e-01  3.0632095e+01  5.9297139e+00  1.3314691e+00  1.8428349e-02  3.0804527e+03  1.7669873e+03  2.8598445e+01  1.4571579e+01  2.4607724e+01  9.9967618e-01  8.4021117e+00  1.0135896e+02  1.4284133e+00  8.3868605e-01  0.0000000e+00
