#r_[m]          a_[-]          a_prime_[-]    Ct_[-]         Cq_[-]         Cp_[-]         cn_[-]         ct_[-]         phi_[deg]      alpha_[deg]    Cl_[-]         Cd_[-]         Pn_[N/m]       Pt_[N/m]       Vrel_[m/s]     Un_[m/s]       Ut_[m/s]       F_[-]          Re_[-]         Gamma_[m^2/s]  uia_[m/s]      uit_[m/s]      u_turb_[m/s]  
 3.0000000e+00  6.3385288e-02  3.9323649e-05  1.6031960e-01 -4.0606918e-01 -1.2635929e-01  3.2449231e-01 -1.3116688e-01  6.7973994e+01  4.7972038e+01  1.0000000e-04  3.5000000e-01  2.2211356e+01 -8.9783157e+00  4.9834033e+00  4.6196832e+00  1.8689127e+00  1.0000000e+00  1.2375592e+00  1.1212657e-03  3.8031173e-01  7.3489578e-05 -1.0000000e+00
 4.6695996e+00  4.3182307e-02  2.5907853e-05  1.6795888e-01 -5.1204365e+00 -2.4801190e+00  3.1279455e-01 -1.5703368e-01  6.3325396e+01  4.3744749e+01  1.0000000e-04  3.5000000e-01  3.6220115e+01 -1.8183750e+01  6.4799216e+00  5.7902665e+00  2.9089856e+00  1.0000000e+00  1.6100606e+00  1.4587632e-03  2.5909384e-01  7.5363621e-05  4.9365977e-02
 6.3391991e+00  3.6138656e-02  2.9138577e-03  1.4087828e-01 -9.5236625e+00 -6.2621617e+00  3.0150855e-01 -1.8212925e-01  5.5756144e+01  3.6682545e+01  1.9106604e-02  3.5172917e-01  4.1242562e+01 -2.4912982e+01  7.0381615e+00  5.8180969e+00  3.9604881e+00  1.0000000e+00  1.7510885e+00  3.0313368e-01  2.1683194e-01  1.1506770e-02  3.4935044e-02
 8.0087987e+00  3.7750814e-02  1.0625386e-02  1.4645233e-01 -1.2098876e+01 -1.0050746e+01  3.2999523e-01 -1.5261968e-01  4.8994927e+01  3.0540796e+01  1.0134373e-01  3.4916910e-01  5.4166514e+01 -2.5051501e+01  7.6845973e+00  5.7991928e+00  5.0420629e+00  1.0000000e+00  1.9245245e+00  1.7671073e+00  2.2650488e-01  5.3010606e-02  2.5704899e-02
 9.6783983e+00  4.8243566e-02  2.0493566e-02  1.8473284e-01 -7.7977245e+00 -7.8281162e+00  4.1458164e-01 -6.7083506e-02  4.2962850e+01  2.5229839e+01  2.5767006e-01  3.3163877e-01  8.2568579e+01 -1.3360432e+01  8.4076488e+00  5.7300146e+00  6.1526816e+00  1.0000000e+00  2.1342806e+00  4.9826233e+00  2.8946140e-01  1.2355824e-01  1.9486519e-02
 1.1347998e+01  6.9216228e-02  3.0685934e-02  2.5884294e-01  8.9694614e+00  1.0557753e+01  5.6109198e-01  5.4214382e-02  3.7544446e+01  2.0580842e+01  4.7791607e-01  2.9893082e-01  1.3565093e+02  1.3106998e+01  9.1894240e+00  5.5998207e+00  7.2861185e+00  1.0000000e+00  2.3704006e+00  1.0263984e+01  4.1529737e-01  2.1692484e-01  1.5126953e-02
 1.3017597e+01  1.0510152e-01  4.1190757e-02  3.7749731e-01  6.2972826e+01  8.5029556e+01  7.7952791e-01  1.9876315e-01  3.2511356e+01  1.6312082e+01  7.6419273e-01  2.5135637e-01  2.2694045e+02  5.7865021e+01  1.0012384e+01  5.3813235e+00  8.4432925e+00  1.0000000e+00  2.6197755e+00  1.8138842e+01  6.3060913e-01  3.3402679e-01  1.1970344e-02
 1.5279636e+01  1.5707198e-01  4.6329295e-02  5.3093828e-01  1.9023901e+02  3.0150774e+02  1.0150433e+00  3.0473884e-01  2.6963109e+01  1.1839350e+01  1.0428804e+00  1.8862427e-01  3.7464871e+02  1.1247798e+02  1.1174001e+01  5.0664791e+00  9.9593724e+00  1.0000000e+00  2.9761327e+00  2.8120910e+01  9.4243190e-01  4.4098049e-01  8.9361586e-03
 1.7541674e+01  2.0435833e-01  4.4953431e-02  6.5162551e-01  2.9467081e+02  5.3615953e+02  1.1425882e+00  3.2847358e-01  2.2717552e+01  8.7692657e+00  1.1807988e+00  1.3826405e-01  5.2788135e+02  1.5175640e+02  1.2379127e+01  4.7806782e+00  1.1418752e+01  1.0000000e+00  3.3626206e+00  3.5974632e+01  1.2261500e+00  4.9122963e-01  6.8277258e-03
 1.9803712e+01  2.3283855e-01  3.9618998e-02  7.1547219e-01  3.8255170e+02  7.8581918e+02  1.1453500e+00  3.0546124e-01  1.9763822e+01  7.0383717e+00  1.1811723e+00  9.9825068e-02  6.5434466e+02  1.7451166e+02  1.3628194e+01  4.6082886e+00  1.2825418e+01  1.0000000e+00  3.7770383e+00  4.0421017e+01  1.3970313e+00  4.8876576e-01  5.3176911e-03
 2.2065750e+01  2.5653711e-01  3.4545480e-02  7.6362195e-01  4.6219337e+02  1.0578602e+03  1.1171045e+00  2.7165358e-01  1.7431231e+01  5.9233838e+00  1.1471807e+00  7.5462336e-02  7.7815176e+02  1.8922823e+02  1.4905121e+01  4.4649912e+00  1.4220636e+01  9.9999999e-01  4.2107196e+00  4.3765384e+01  1.5392227e+00  4.7485455e-01  4.2097616e-03
 2.4327788e+01  2.8368256e-01  3.0620231e-02  8.1334244e-01  5.5730825e+02  1.4063194e+03  1.0918335e+00  2.4727881e-01  1.5396984e+01  5.0489126e+00  1.1183008e+00  5.1483828e-02  9.1378340e+02  2.0695397e+02  1.6200400e+01  4.3012931e+00  1.5618958e+01  9.9999999e-01  4.6546009e+00  4.7161070e+01  1.7020954e+00  4.6404679e-01  3.3804308e-03
 2.6589826e+01  3.1336714e-01  2.7197826e-02  8.5535906e-01  6.5645914e+02  1.8105440e+03  1.0603186e+00  2.2515331e-01  1.3620025e+01  4.3213070e+00  1.0835206e+00  3.0864013e-02  1.0503430e+03  2.2303505e+02  1.7506857e+01  4.1225461e+00  1.7014543e+01  9.9999999e-01  5.0980951e+00  5.0048112e+01  1.8802028e+00  4.5050579e-01  2.7489499e-03
 2.8851864e+01  3.3620343e-01  2.4257877e-02  8.9281351e-01  7.5630579e+02  2.2633785e+03  1.0283027e+00  2.0470271e-01  1.2214390e+01  3.8020086e+00  1.0483338e+00  1.7489471e-02  1.1896024e+03  2.3681241e+02  1.8835540e+01  3.9850403e+00  1.8409156e+01  9.9999999e-01  5.5338084e+00  5.2561323e+01  2.0172206e+00  4.3599083e-01  2.2608828e-03
 3.1113903e+01  3.5113295e-01  2.1484718e-02  9.1591390e-01  8.3877614e+02  2.7069887e+03  9.8819967e-01  1.8286932e-01  1.1129890e+01  3.3883067e+00  1.0049137e+00  1.1326056e-02  1.3160620e+03  2.4354123e+02  2.0178227e+01  3.8950809e+00  1.9798717e+01  9.9999999e-01  5.9466171e+00  5.4142874e+01  2.1067977e+00  4.1642311e-01  1.8786069e-03
 3.3375941e+01  3.5879999e-01  1.8956825e-02  9.2736287e-01  9.0359899e+02  3.1282045e+03  9.4715512e-01  1.6206671e-01  1.0296614e+01  3.0659269e+00  9.6087022e-01  9.8416294e-03  1.4293890e+03  2.4458124e+02  2.1532327e+01  3.8487756e+00  2.1185562e+01  9.9999998e-01  6.3148012e+00  5.4975222e+01  2.1528000e+00  3.9413935e-01  1.5755750e-03
