#r_[m]          a_[-]          a_prime_[-]    Ct_[-]         Cq_[-]         Cp_[-]         cn_[-]         ct_[-]         phi_[deg]      alpha_[deg]    Cl_[-]         Cd_[-]         Pn_[N/m]       Pt_[N/m]       Vrel_[m/s]     Un_[m/s]       Ut_[m/s]       F_[-]          Re_[-]         Gamma_[m^2/s]  uia_[m/s]      uit_[m/s]      u_turb_[m/s]  
 3.0000000e+00  5.9461461e-02  1.4448079e-04  2.2348218e-01 -1.7484564e-01 -2.0558006e-02  3.4730331e-01 -4.3363789e-02  8.2866593e+01  4.0794637e+01  1.0000000e-04  3.5000000e-01  3.7928656e+02 -4.7357171e+01  1.9905356e+01  1.9751283e+01  2.4718480e+00  1.0000000e+00  4.9432196e+00  4.4787052e-03  1.2486907e+00  3.5708297e-04  0.0000000e+00
 4.6695996e+00  3.9433257e-02  6.1554579e-05  1.5135983e-01 -1.7502666e+00 -3.2032348e-01  3.4382177e-01 -6.5472143e-02  7.9202181e+01  3.7551534e+01  1.0000000e-04  3.5000000e-01  3.9984675e+02 -7.6140681e+01  2.0535465e+01  2.0171871e+01  3.8471945e+00  1.0000000e+00  5.1024293e+00  4.6229541e-03  8.2809839e-01  2.3679786e-04  0.0000000e+00
 6.3391991e+00  3.0314080e-02  6.8442244e-03  1.1745908e-01 -2.6077087e+00 -6.4788570e-01  3.4487748e-01 -6.8415959e-02  7.5521518e+01  3.4377919e+01  1.9981845e-02  3.5102984e-01  4.2123485e+02 -8.3563549e+01  2.1031292e+01  2.0363372e+01  5.2581678e+00  1.0000000e+00  5.2325674e+00  9.4731191e-01  6.3659568e-01  3.5743445e-02  0.0000000e+00
 8.0087987e+00  2.6593340e-02  2.2134317e-02  1.0343605e-01 -7.4264753e-01 -2.3310685e-01  3.6388634e-01 -1.4626174e-02  7.1741575e+01  3.1217444e+01  1.0011705e-01  3.5014821e-01  4.6864348e+02 -1.8836819e+01  2.1525236e+01  2.0441506e+01  6.7439306e+00  1.0000000e+00  5.3907631e+00  4.8899102e+00  5.5846015e-01  1.4603982e-01  0.0000000e+00
 9.6783983e+00  2.6129528e-02  3.7954284e-02  1.0167964e-01  6.2759632e+00  2.3806130e+00  4.0596018e-01  9.6053182e-02  6.7968357e+01  2.8165346e+01  2.4132229e-01  3.4028435e-01  5.5672507e+02  1.3172527e+02  2.2062303e+01  2.0451244e+01  8.2759803e+00  9.9999990e-01  5.6005130e+00  1.2245255e+01  5.4872008e-01  3.0262309e-01  0.0000000e+00
 1.1347998e+01  2.8169734e-02  5.2789243e-02  1.0938887e-01  2.1386640e+01  9.5118880e+00  4.7780361e-01  2.6047692e-01  6.4253419e+01  2.5219815e+01  4.4217168e-01  3.1722029e-01  7.0225638e+02  3.8283841e+02  2.2657765e+01  2.0408396e+01  9.8423408e+00  9.9999911e-01  5.8445426e+00  2.3414454e+01  5.9156442e-01  4.9351737e-01  0.0000000e+00
 1.3017597e+01  3.2257679e-02  6.4915103e-02  1.2473840e-01  6.4397871e+01  3.2855439e+01  5.8208051e-01  4.5932416e-01  6.0665767e+01  2.2396493e+01  6.8559133e-01  2.8241978e-01  9.1861661e+02  7.2488735e+02  2.3311649e+01  2.0322553e+01  1.1420456e+01  9.9999575e-01  6.0995750e+00  3.7888506e+01  6.7741126e-01  6.9616848e-01  0.0000000e+00
 1.5279636e+01  4.0661490e-02  7.6720616e-02  1.5586585e-01  1.8021006e+02  1.0791876e+02  7.7306296e-01  7.4891175e-01  5.6068702e+01  1.8874943e+01  1.0529002e+00  2.2337476e-01  1.3473091e+03  1.3052179e+03  2.4280917e+01  2.0146058e+01  1.3553569e+01  9.9998062e-01  6.4670862e+00  6.1693362e+01  8.5389129e-01  9.6574584e-01  0.0000000e+00
 1.7541674e+01  5.1850849e-02  8.4183063e-02  1.9643481e-01  3.1539502e+02  2.1683570e+02  1.0072456e+00  1.0281191e+00  5.1800989e+01  1.5782703e+01  1.4308409e+00  1.5577817e-01  1.9493633e+03  1.9897605e+03  2.5336431e+01  1.9911079e+01  1.5667918e+01  9.9994283e-01  6.8822949e+00  8.9221026e+01  1.0888678e+00  1.2165600e+00  0.0000000e+00
 1.9803712e+01  5.9441210e-02  7.9867049e-02  2.2337674e-01  4.3931561e+02  3.4097941e+02  1.1613826e+00  1.1392906e+00  4.8268004e+01  1.3472554e+01  1.6232856e+00  1.0833544e-01  2.5025793e+03  2.4549748e+03  2.6467345e+01  1.9751695e+01  1.7617914e+01  9.9986545e-01  7.3353944e+00  1.0788498e+02  1.2482654e+00  1.3030228e+00  0.0000000e+00
 2.2065750e+01  6.3889038e-02  7.1141898e-02  2.3892459e-01  5.4585379e+02  4.7206299e+02  1.2424659e+00  1.1404501e+00  4.5273250e+01  1.1695403e+01  1.6846129e+00  8.0171060e-02  2.9825164e+03  2.7376293e+03  2.7669380e+01  1.9658292e+01  1.9471675e+01  9.9972870e-01  7.8166426e+00  1.1930618e+02  1.3416698e+00  1.2932483e+00  0.0000000e+00
 2.4327788e+01  6.7194856e-02  6.2909654e-02  2.5035193e-01  6.5280991e+02  6.2243541e+02  1.2900878e+00  1.1118943e+00  4.2599940e+01  1.0181869e+01  1.7022445e+00  5.4765468e-02  3.4455366e+03  2.9696216e+03  2.8940173e+01  1.9588885e+01  2.1302797e+01  9.9951629e-01  8.3149152e+00  1.2823965e+02  1.4110920e+00  1.2608333e+00  0.0000000e+00
 2.6589826e+01  6.7983990e-02  5.4306450e-02  2.5300000e-01  7.4359964e+02  7.7492486e+02  1.2848354e+00  1.0448377e+00  4.0280139e+01  8.9114211e+00  1.6557054e+00  3.3579814e-02  3.8057418e+03  3.0948576e+03  3.0273087e+01  1.9572318e+01  2.3095111e+01  9.9920256e-01  8.8156929e+00  1.3224586e+02  1.4276638e+00  1.1896102e+00  0.0000000e+00
 2.8851864e+01  6.6779598e-02  4.6038247e-02  2.4872978e-01  8.1309945e+02  9.1943805e+02  1.2422348e+00  9.5430127e-01  3.8245666e+01  7.7632848e+00  1.5663516e+00  1.9512605e-02  4.0598030e+03  3.1187947e+03  3.1658351e+01  1.9597613e+01  2.4863321e+01  9.9876131e-01  9.3011003e+00  1.3199764e+02  1.4023716e+00  1.0942850e+00  0.0000000e+00
 3.1113903e+01  6.3589836e-02  3.8210465e-02  2.3751562e-01  8.5249076e+02  1.0395589e+03  1.1673786e+00  8.4666960e-01  3.6462072e+01  6.6504895e+00  1.4420325e+00  1.2827659e-02  4.1807092e+03  3.0321606e+03  3.3089202e+01  1.9664600e+01  2.6612005e+01  9.9815890e-01  9.7515413e+00  1.2740629e+02  1.3353866e+00  9.7943266e-01  0.0000000e+00
 3.3375941e+01  5.8974277e-02  3.1159524e-02  2.2118519e-01  8.6244957e+02  1.1281638e+03  1.0742229e+00  7.3556109e-01  3.4875918e+01  5.5752313e+00  1.3018788e+00  1.0793203e-02  4.1763112e+03  2.8596784e+03  3.4560143e+01  1.9761528e+01  2.8352875e+01  9.9736201e-01  1.0135478e+01  1.1955215e+02  1.2384598e+00  8.5676575e-01  0.0000000e+00
