#r_[m]          a_[-]          a_prime_[-]    Ct_[-]         Cq_[-]         Cp_[-]         cn_[-]         ct_[-]         phi_[deg]      alpha_[deg]    Cl_[-]         Cd_[-]         Pn_[N/m]       Pt_[N/m]       Vrel_[m/s]     Un_[m/s]       Ut_[m/s]       F_[-]          Re_[-]         Gamma_[m^2/s]  uia_[m/s]      uit_[m/s]      u_turb_[m/s]  
 3.0000000e+00  5.9563160e-02  1.2948861e-04  2.2135271e-01 -1.9254290e-01 -2.5021848e-02  3.4667561e-01 -4.8125177e-02  8.2080393e+01  4.2218436e+01  1.0000000e-04  3.5000000e-01  3.0752328e+02 -4.2690089e+01  1.7939819e+01  1.7768716e+01  2.4718110e+00  1.0000000e+00  4.4551055e+00  4.0364593e-03  1.1317000e+00  3.2002994e-04 -9.9560634e-02
 4.6695996e+00  3.9589887e-02  5.5287788e-05  1.5023703e-01 -1.9315653e+00 -3.9071460e-01  3.4240981e-01 -7.2495027e-02  7.8029494e+01  3.8588846e+01  1.0000000e-04  3.5000000e-01  3.2488416e+02 -6.8784495e+01  1.8548791e+01  1.8145438e+01  3.8471704e+00  1.0000000e+00  4.6088022e+00  4.1757130e-03  7.5220786e-01  2.1268978e-04 -1.0232693e-01
 6.3391991e+00  3.0585588e-02  6.0920981e-03  1.1729237e-01 -2.9785054e+00 -8.1790603e-01  3.4307155e-01 -7.7845489e-02  7.4002273e+01  3.5068674e+01  1.9719513e-02  3.5123944e-01  3.4433095e+02 -7.8131256e+01  1.9064785e+01  1.8326456e+01  5.2542399e+00  1.0000000e+00  4.7433020e+00  8.4746067e-01  5.8112617e-01  3.1815522e-02 -9.2388730e-02
 8.0087987e+00  2.7145467e-02  1.9929976e-02  1.0465465e-01 -1.3907203e+00 -4.8247830e-01  3.6352257e-01 -2.7043741e-02  6.9919101e+01  3.1604970e+01  9.9414519e-02  3.5070896e-01  3.8814843e+02 -2.8875746e+01  1.9599398e+01  1.8407926e+01  6.7293866e+00  1.0000000e+00  4.9084577e+00  4.4211724e+00  5.1576387e-01  1.3149581e-01 -7.6279084e-02
 9.6783983e+00  2.7141433e-02  3.4520794e-02  1.0484608e-01  5.3757499e+00  2.2537885e+00  4.0923692e-01  8.0434726e-02  6.5884055e+01  2.8291044e+01  2.4062228e-01  3.4065455e-01  4.6992397e+02  9.2362648e+01  2.0188246e+01  1.8426226e+01  8.2486039e+00  9.9999992e-01  5.1247837e+00  1.1172592e+01  5.1568723e-01  2.7524665e-01 -5.8053929e-02
 1.1347998e+01  2.9915714e-02  4.8557802e-02  1.1545253e-01  2.0544751e+01  1.0099288e+01  4.8793648e-01  2.4210910e-01  6.1941674e+01  2.5118070e+01  4.4316458e-01  3.1670804e-01  6.0672882e+02  3.0105265e+02  2.0840570e+01  1.8391162e+01  9.8027820e+00  9.9999932e-01  5.3757995e+00  2.1584932e+01  5.6839857e-01  4.5395837e-01 -4.0402310e-02
 1.3017597e+01  3.4825168e-02  5.9543649e-02  1.3394275e-01  6.2974200e+01  3.5511099e+01  5.9860435e-01  4.3017799e-01  5.8181610e+01  2.2122336e+01  6.8113366e-01  2.8184607e-01  8.0746177e+02  5.8027023e+02  2.1552042e+01  1.8313277e+01  1.1362852e+01  9.9999688e-01  5.6391677e+00  3.4800857e+01  6.6167820e-01  6.3856345e-01 -2.5007754e-02
 1.5279636e+01  4.5188775e-02  7.1613413e-02  1.7222639e-01  1.8239884e+02  1.2072736e+02  8.0717599e-01  7.1627259e-01  5.3352769e+01  1.8369010e+01  1.0564763e+00  2.2008464e-01  1.2186657e+03  1.0814207e+03  2.2599408e+01  1.8132086e+01  1.3489281e+01  9.9998641e-01  6.0192258e+00  5.7615984e+01  8.5858673e-01  9.0145725e-01 -9.2739115e-03
 1.7541674e+01  5.8578558e-02  7.8841657e-02  2.2035671e-01  3.2175773e+02  2.4449536e+02  1.0545852e+00  9.7893994e-01  4.8923870e+01  1.5115584e+01  1.4308884e+00  1.5176209e-01  1.7900667e+03  1.6616654e+03  2.3727966e+01  1.7887023e+01  1.5590727e+01  9.9996152e-01  6.4453774e+00  8.3559667e+01  1.1129926e+00  1.1393694e+00  5.9017201e-05
 1.9803712e+01  6.6790288e-02  7.3843434e-02  2.4914413e-01  4.4240203e+02  3.7951970e+02  1.1952889e+00  1.0586681e+00  4.5349070e+01  1.2763619e+01  1.5931702e+00  1.0631363e-01  2.2849104e+03  2.0237466e+03  2.4928851e+01  1.7734425e+01  1.7519640e+01  9.9991113e-01  6.9090026e+00  9.9728686e+01  1.2690155e+00  1.2047481e+00  3.4737807e-03
 2.2065750e+01  7.2098455e-02  6.5782916e-02  2.6737933e-01  5.4970608e+02  5.2543603e+02  1.2697353e+00  1.0487989e+00  4.2306227e+01  1.0938380e+01  1.6449819e+00  7.9002272e-02  2.7322374e+03  2.2568228e+03  2.6197080e+01  1.7633068e+01  1.9374258e+01  9.9982369e-01  7.4007155e+00  1.1030048e+02  1.3698707e+00  1.1958304e+00  2.9674492e-03
 2.4327788e+01  7.4977588e-02  5.7427456e-02  2.7714147e-01  6.4977575e+02  6.8475742e+02  1.2915272e+00  1.0008615e+00  3.9672910e+01  9.4648390e+00  1.6330444e+00  5.4151472e-02  3.1223102e+03  2.4196162e+03  2.7533953e+01  1.7577785e+01  2.1192924e+01  9.9968623e-01  7.9108886e+00  1.1704849e+02  1.4245742e+00  1.1509593e+00  2.3768257e-03
 2.6589826e+01  7.5649551e-02  4.9377829e-02  2.7935257e-01  7.3846953e+02  8.5058691e+02  1.2716748e+00  9.3011937e-01  3.7383593e+01  8.2248749e+00  1.5751786e+00  3.3033079e-02  3.4398546e+03  2.5159540e+03  2.8929624e+01  1.7564573e+01  2.2987147e+01  9.9948302e-01  8.4244691e+00  1.2023058e+02  1.4373415e+00  1.0816463e+00  1.9284580e-03
 2.8851864e+01  7.4351699e-02  4.1842975e-02  2.7485598e-01  8.0819251e+02  1.0100883e+03  1.2207041e+00  8.4350176e-01  3.5385102e+01  7.1127207e+00  1.4836596e+00  1.9183411e-02  3.6724084e+03  2.5376198e+03  3.0374416e+01  1.7588889e+01  2.4763605e+01  9.9919488e-01  8.9238850e+00  1.1995844e+02  1.4126823e+00  9.9456737e-01  1.5828791e-03
 3.1113903e+01  7.0940136e-02  3.4782262e-02  2.6309790e-01  8.4950560e+02  1.1449627e+03  1.1416628e+00  7.4488881e-01  3.3646205e+01  6.0446221e+00  1.3631208e+00  1.2452106e-02  3.7909127e+03  2.4734172e+03  3.1861788e+01  1.7653440e+01  2.6524132e+01  9.9879566e-01  9.3898166e+00  1.1596690e+02  1.3478626e+00  8.9155897e-01  1.3128951e-03
