y,x,U_local,V_local,WS,WS_nondim
0.20549634216510945,0.0,0.0,0.0,0.0,0.0
0.3198618772900197,0.0,8.496045687517066,-0.0,8.496045687517066,1.0620057109396333
0.4342274124149299,0.0,8.361657689545543,-0.0,8.361657689545543,1.045207211193193
0.5485929475398402,0.0,8.270198636385958,-0.0,8.270198636385958,1.0337748295482447
0.6629584826647504,0.0,8.205517130443338,-0.0,8.205517130443338,1.0256896413054173
0.7773240177896605,0.0,8.158686552536556,-0.0,8.158686552536556,1.0198358190670695
0.8916895529145711,0.0,8.12419567018521,-0.0,8.12419567018521,1.0155244587731513
1.0466364069547716,0.0,8.090894402784635,-0.0,8.090894402784635,1.0113618003480793
1.2015832609949728,0.0,8.067943729913637,-0.0,8.067943729913637,1.0084929662392046
1.356530115035174,0.0,8.051782853305852,-0.0,8.051782853305852,1.0064728566632315
1.5114769690753753,0.0,8.040171532488523,-0.0,8.040171532488523,1.0050214415610654
1.666423823115576,0.0,8.031670205993718,-0.0,8.031670205993718,1.0039587757492148
1.8213706771557772,0.0,8.025335684042075,-0.0,8.025335684042075,1.0031669605052593
1.9763175311959778,0.0,8.020538379567501,-0.0,8.020538379567501,1.0025672974459376
2.131264385236179,0.0,8.016850411400476,-0.0,8.016850411400476,1.0021063014250595
2.28621123927638,0.0,8.01397591409513,-0.0,8.01397591409513,1.0017469892618913
2.441158093316581,0.0,8.01170690860671,-0.0,8.01170690860671,1.0014633635758388
2.5961049473567823,0.0,8.009894897133663,-0.0,8.009894897133663,1.0012368621417078
2.7510518013969825,0.0,8.0084322818649,-0.0,8.0084322818649,1.0010540352331125
2.9059986554371835,0.0,8.00724001703053,-0.0,8.00724001703053,1.0009050021288162
3.060945509477384,0.0,8.00625927717523,-0.0,8.00625927717523,1.0007824096469038
3.2158923635175856,0.0,8.00544575245105,-0.0,8.00544575245105,1.0006807190563813
3.370839217557787,0.0,8.00476568763005,-0.0,8.00476568763005,1.0005957109537562
3.5257860715979876,0.0,8.004193095034466,-0.0,8.004193095034466,1.0005241368793083
3.6807329256381887,0.0,8.003707768588722,-0.0,8.003707768588722,1.0004634710735902
3.835679779678389,0.0,8.003293851729111,-0.0,8.003293851729111,1.000411731466139
3.9906266337185903,0.0,8.002938792990701,-0.0,8.002938792990701,1.0003673491238376
4.145573487758791,0.0,8.00263257616259,-0.0,8.00263257616259,1.0003290720203237
4.300520341798992,0.0,8.002367147087373,-0.0,8.002367147087373,1.0002958933859216
4.455467195839193,0.0,8.002135982796236,-0.0,8.002135982796236,1.0002669978495295
4.610414049879394,0.0,8.001933764710541,-0.0,8.001933764710541,1.0002417205888177
4.765360903919595,0.0,8.001756128658617,-0.0,8.001756128658617,1.000219516082327
4.9203077579597965,0.0,8.001599472107593,-0.0,8.001599472107593,1.000199934013449
5.0752546119999975,0.0,8.001460804378405,-0.0,8.001460804378405,1.0001826005473007
5.2302014660401985,0.0,8.001337629416303,-0.0,8.001337629416303,1.000167203677038
5.3851483200804,0.0,8.00122785341041,-0.0,8.00122785341041,1.0001534816763014
5.540095174120601,0.0,8.001129711520173,-0.0,8.001129711520173,1.0001412139400216
5.695042028160802,0.0,8.001041709396574,-0.0,8.001041709396574,1.0001302136745718
5.823703255176326,0.0,8.00097542468097,-0.0,8.00097542468097,1.0001219280851212
5.952364482191849,0.0,8.000914622884956,-0.0,8.000914622884956,1.0001143278606195
6.081025709207372,0.0,8.000858750901287,-0.0,8.000858750901287,1.0001073438626609
6.209686936222898,0.0,8.00080732098887,-0.0,8.00080732098887,1.0001009151236087
6.338348163238422,0.0,8.000759901969035,-0.0,8.000759901969035,1.0000949877461294
6.467009390253946,0.0,8.000716111746296,-0.0,8.000716111746296,1.000089513968287
6.595670617269469,0.0,8.000675610934318,-0.0,8.000675610934318,1.0000844513667897
6.724331844284992,0.0,8.000638097407379,-0.0,8.000638097407379,1.0000797621759223
6.810105995628676,0.0,8.000614613671925,-0.0,8.000614613671925,1.0000768267089906
6.895880146972359,0.0,8.000592264579087,-0.0,8.000592264579087,1.0000740330723858
6.981654298316041,0.0,8.00057098263792,-0.0,8.00057098263792,1.00007137282974
7.067428449659725,0.0,8.000550705103198,-0.0,8.000550705103198,1.0000688381378997
