#r_[m]          a_[-]          a_prime_[-]    Ct_[-]         Cq_[-]         Cp_[-]         cn_[-]         ct_[-]         phi_[deg]      alpha_[deg]    Cl_[-]         Cd_[-]         Pn_[N/m]       Pt_[N/m]       Vrel_[m/s]     Un_[m/s]       Ut_[m/s]       F_[-]          Re_[-]         Gamma_[m^2/s]  uia_[m/s]      uit_[m/s]      u_turb_[m/s]  
 3.0000000e+00  5.9546792e-02  1.2687245e-04  2.0603997e-01 -1.7644366e-01 -2.1783193e-02  3.4677651e-01 -4.7392611e-02  8.2201448e+01  4.1219492e+01  1.0000000e-04  3.5000000e-01  3.1717390e+02 -4.3346935e+01  1.8216485e+01  1.8048006e+01  2.4718045e+00  1.0000000e+00  4.5238117e+00  4.0987091e-03  1.1909358e+00  3.1356412e-04 -7.6103356e-01
 4.6695996e+00  3.9498054e-02  5.8998862e-05  1.5231933e-01 -1.8452883e+00 -3.5459949e-01  3.4323634e-01 -6.8475007e-02  7.8701349e+01  3.8140702e+01  1.0000000e-04  3.5000000e-01  3.6497185e+02 -7.2811201e+01  1.9636202e+01  1.9255638e+01  3.8471846e+00  1.0000000e+00  4.8789903e+00  4.4205116e-03  7.8996109e-01  2.2696613e-04  4.5627709e-02
 6.3391991e+00  3.0430945e-02  6.5108358e-03  1.1839168e-01 -2.7936762e+00 -7.2879384e-01  3.4415270e-01 -7.2564827e-02  7.4863482e+01  3.4809882e+01  1.9817796e-02  3.5116092e-01  3.8510600e+02 -8.1199859e+01  2.0130325e+01  1.9431931e+01  5.2564267e+00  1.0000000e+00  5.0084075e+00  8.9928549e-01  6.0861889e-01  3.4002348e-02  4.0581033e-02
 8.0087987e+00  2.6838722e-02  2.1137516e-02  1.0471778e-01 -1.0467444e+00 -3.4498662e-01  3.6386553e-01 -2.0361758e-02  7.0936191e+01  3.1502060e+01  9.9601083e-02  3.5056005e-01  4.3034079e+02 -2.4081684e+01  2.0627439e+01  1.9496135e+01  6.7373538e+00  1.0000000e+00  5.1659194e+00  4.6618068e+00  5.3677444e-01  1.3946303e-01  3.2941742e-02
 9.6783983e+00  2.6579022e-02  3.6346385e-02  1.0365616e-01  5.8676737e+00  2.3370267e+00  4.0756137e-01  8.8439399e-02  6.7029054e+01  2.8316043e+01  2.4048306e-01  3.4072818e-01  5.1478192e+02  1.1170589e+02  2.1173240e+01  1.9494263e+01  8.2631600e+00  9.9999991e-01  5.3748244e+00  1.1710929e+01  5.3158044e-01  2.8980273e-01  2.5877798e-02
 1.1347998e+01  2.8950719e-02  5.0768854e-02  1.1256565e-01  2.1020808e+01  9.8166404e+00  4.8254530e-01  2.5126502e-01  6.3192951e+01  2.5249347e+01  4.4188348e-01  3.1736898e-01  6.5546547e+02  3.4130587e+02  2.1782103e+01  1.9441187e+01  9.8234527e+00  9.9999921e-01  5.6186666e+00  2.2494876e+01  5.7901439e-01  4.7462911e-01  2.0239712e-02
 1.3017597e+01  3.3444648e-02  6.2419548e-02  1.2938054e-01  6.3956663e+01  3.4261854e+01  5.9032193e-01  4.4603674e-01  5.9505402e+01  2.2326128e+01  6.8390267e-01  2.8232232e-01  8.6422038e+02  6.5298953e+02  2.2452524e+01  1.9346824e+01  1.1393693e+01  9.9999630e-01  5.8747820e+00  3.6402284e+01  6.6889295e-01  6.6940542e-01  1.5751428e-02
 1.5279636e+01  4.2742639e-02  7.4250527e-02  1.6368348e-01  1.8146889e+02  1.1410624e+02  7.8957544e-01  7.3346379e-01  5.4781887e+01  1.8678128e+01  1.0545532e+00  2.2207195e-01  1.2833424e+03  1.1921409e+03  2.3448407e+01  1.9156472e+01  1.3522476e+01  9.9998352e-01  6.2453517e+00  5.9671643e+01  8.5485278e-01  9.3465278e-01  1.1372517e-02
 1.7541674e+01  5.4989444e-02  8.1614455e-02  2.0782263e-01  3.1890464e+02  2.3021101e+02  1.0309332e+00  1.0057040e+00  5.0421060e+01  1.5492774e+01  1.4319933e+00  1.5381419e-01  1.8706329e+03  1.8248544e+03  2.4532724e+01  1.8908535e+01  1.5630798e+01  9.9995238e-01  6.6639789e+00  8.6460390e+01  1.0997889e+00  1.1794401e+00  8.3740944e-03
 1.9803712e+01  6.2928601e-02  7.6959506e-02  2.3577100e-01  4.4146129e+02  3.5977704e+02  1.1797644e+00  1.1018387e+00  4.6856571e+01  1.3151121e+01  1.6107050e+00  1.0734112e-01  2.3958614e+03  2.2376102e+03  2.5694331e+01  1.8747719e+01  1.7570478e+01  9.9988904e-01  7.1211546e+00  1.0392236e+02  1.2585720e+00  1.2555865e+00  6.3274178e-03
