#r_[m]          a_[-]          a_prime_[-]    Ct_[-]         Cq_[-]         Cp_[-]         cn_[-]         ct_[-]         phi_[deg]      alpha_[deg]    Cl_[-]         Cd_[-]         Pn_[N/m]       Pt_[N/m]       Vrel_[m/s]     Un_[m/s]       Ut_[m/s]       F_[-]          Re_[-]         Gamma_[m^2/s]  uia_[m/s]      uit_[m/s]      u_turb_[m/s]  
 3.0000000e+00  6.0008460e-02  8.9898965e-05  1.9456770e-01 -2.2967537e-01 -3.7806689e-02  3.4394992e-01 -6.4795563e-02  7.9314908e+01  4.4292951e+01  1.0000000e-04  3.5000000e-01  1.6847646e+02 -3.1738711e+01  1.3330999e+01  1.3099854e+01  2.4717131e+00  1.0000000e+00  3.3105690e+00  2.9994749e-03  9.0012691e-01  2.2218448e-04 -1.0000000e+00
 4.6695996e+00  4.0059397e-02  4.4971517e-05  1.5471842e-01 -2.4987838e+00 -6.4023776e-01  3.3824168e-01 -8.9958748e-02  7.5090022e+01  4.0489374e+01  1.0000000e-04  3.5000000e-01  2.0853017e+02 -5.5460677e+01  1.4951863e+01  1.4448453e+01  3.8471307e+00  1.0000000e+00  3.7150767e+00  3.3659709e-03  6.0089095e-01  1.7300352e-04  4.9365977e-02
 6.3391991e+00  3.1368184e-02  4.8856918e-03  1.2199602e-01 -4.0877612e+00 -1.4218470e+00  3.3728732e-01 -1.0098573e-01  7.0184550e+01  3.6090950e+01  1.9331277e-02  3.5154965e-01  2.2321700e+02 -6.6832428e+01  1.5481030e+01  1.4564389e+01  5.2479395e+00  1.0000000e+00  3.8516669e+00  6.7460858e-01  4.7052276e-01  2.5515156e-02  3.4935044e-02
 8.0087987e+00  2.8698975e-02  1.6356318e-02  1.1177832e-01 -3.1382334e+00 -1.3790677e+00  3.6032332e-01 -5.6633599e-02  6.5323437e+01  3.1849306e+01  9.8971570e-02  3.5106251e-01  2.5838791e+02 -4.0611963e+01  1.6061992e+01  1.4595195e+01  6.7058081e+00  1.0000000e+00  4.0225526e+00  3.6070717e+00  4.3048463e-01  1.0791721e-01  2.5704899e-02
 9.6783983e+00  3.0107261e-02  2.9005059e-02  1.1699338e-01  3.3252314e+00  1.7658684e+00  4.1496867e-01  4.5212428e-02  6.0611752e+01  2.7858741e+01  2.4302976e-01  3.3938134e-01  3.2682253e+02  3.5608568e+01  1.6719394e+01  1.4567850e+01  8.2046252e+00  9.9999996e-01  4.2442160e+00  9.3454350e+00  4.5160892e-01  2.3126772e-01  1.9486519e-02
 1.1347998e+01  3.5567969e-02  4.2718570e-02  1.3735421e-01  2.0265451e+01  1.2618522e+01  5.1565850e-01  2.1214212e-01  5.6053749e+01  2.4070145e+01  4.6393641e-01  3.0930726e-01  4.4989217e+02  1.8508583e+02  1.7456898e+01  1.4481575e+01  9.7481923e+00  9.9999972e-01  4.5029853e+00  1.8927862e+01  5.3351954e-01  3.9936842e-01  1.5126953e-02
 1.3017597e+01  4.3762158e-02  5.2233712e-02  1.6749502e-01  6.4770493e+01  4.6263768e+01  6.4995543e-01  3.8417029e-01  5.1830115e+01  2.0610840e+01  7.0369708e-01  2.7356772e-01  6.2933220e+02  3.7198048e+02  1.8259781e+01  1.4355508e+01  1.1284458e+01  9.9999884e-01  4.7777360e+00  3.0461443e+01  6.5643238e-01  5.6016955e-01  1.1970344e-02
 1.5279636e+01  6.1501106e-02  6.4655562e-02  2.3092339e-01  2.0004193e+02  1.6771310e+02  9.1133548e-01  6.6148362e-01  4.6426816e+01  1.6283057e+01  1.1074071e+00  2.0430980e-01  1.0184229e+03  7.3921192e+02  1.9443024e+01  1.4086365e+01  1.3401698e+01  9.9999572e-01  5.1785406e+00  5.1958578e+01  9.2251660e-01  8.1387303e-01  8.9361586e-03
 1.7541674e+01  7.7581219e-02  6.6261253e-02  2.8624442e-01  3.2679677e+02  3.1454424e+02  1.1203786e+00  8.1316222e-01  4.1935920e+01  1.2967634e+01  1.3768771e+00  1.4384252e-01  1.4492899e+03  1.0518835e+03  2.0713905e+01  1.3843083e+01  1.5408923e+01  9.9998890e-01  5.6266489e+00  7.0191991e+01  1.1637183e+00  9.5756539e-01  6.8277258e-03
 1.9803712e+01  8.9011995e-02  6.1401199e-02  3.2428176e-01  4.4481367e+02  4.8334551e+02  1.2380238e+00  8.4704232e-01  3.8288285e+01  1.0542835e+01  1.4965718e+00  1.0225640e-01  1.8536014e+03  1.2682138e+03  2.2062148e+01  1.3670117e+01  1.7316648e+01  9.9997614e-01  6.1144991e+00  8.2908876e+01  1.3351799e+00  1.0017543e+00  5.3176911e-03
