#r_[m]          a_[-]          a_prime_[-]    Ct_[-]         Cq_[-]         Cp_[-]         cn_[-]         ct_[-]         phi_[deg]      alpha_[deg]    Cl_[-]         Cd_[-]         Pn_[N/m]       Pt_[N/m]       Vrel_[m/s]     Un_[m/s]       Ut_[m/s]       F_[-]          Re_[-]         Gamma_[m^2/s]  uia_[m/s]      uit_[m/s]      u_turb_[m/s]  
 3.0000000e+00  9.9285041e-02  9.7024722e-01  3.1909378e-01  2.3584914e+00  2.9144951e-01  5.6902011e-01  6.7055811e-01  7.4029020e+01  3.3047063e+01  8.0124150e-01  3.6255224e-01  4.9120670e+02  5.7885939e+02  1.7697382e+01  1.7014284e+01  4.8694427e+00  1.0000000e+00  4.3948997e+00  3.1904723e+01  1.9857008e+00  2.3979572e+00 -1.0000000e+00
 4.6695996e+00  6.7560460e-02  4.6781188e-01  2.4969183e-01  1.7670631e+01  3.3989086e+00  5.7621355e-01  6.7088374e-01  7.3081869e+01  3.2521222e+01  8.0952993e-01  3.5604542e-01  5.9828577e+02  6.9658236e+02  1.9403811e+01  1.8564044e+01  5.6466051e+00  1.0000000e+00  4.8212484e+00  3.5361851e+01  1.3512092e+00  1.7996525e+00 -8.4722068e-02
 6.3391991e+00  5.3486027e-02  2.7203958e-01  2.0078977e-01  2.5941933e+01  6.7739892e+00  5.9208589e-01  6.8289198e-01  7.0587010e+01  3.0533411e+01  8.4086228e-01  3.3144803e-01  6.5313157e+02  7.5330002e+02  1.9986844e+01  1.8850538e+01  6.6431264e+00  1.0000000e+00  4.9727095e+00  3.7884410e+01  1.0697205e+00  1.4207061e+00 -7.9711443e-02
 8.0087987e+00  4.6844257e-02  1.8681477e-01  1.7738271e-01  3.6076569e+01  1.1901464e+01  6.2106602e-01  7.0646771e-01  6.7600521e+01  2.8166390e+01  8.8982901e-01  3.0499830e-01  7.2895942e+02  8.2919734e+02  2.0549076e+01  1.8998638e+01  7.8304713e+00  1.0000000e+00  5.1462943e+00  4.1490031e+01  9.3688514e-01  1.2325836e+00 -6.4441280e-02
 9.6783983e+00  4.3808436e-02  1.4140803e-01  1.6673391e-01  4.8345495e+01  1.9273797e+01  6.5781960e-01  7.3047821e-01  6.4496674e+01  2.5783663e+01  9.4253373e-01  2.7920461e-01  8.2804152e+02  9.1950177e+02  2.1137073e+01  1.9077482e+01  9.1008517e+00  9.9999993e-01  5.3656433e+00  4.5820653e+01  8.7616873e-01  1.1274968e+00 -4.6308992e-02
 1.1347998e+01  4.2769689e-02  1.1386136e-01  1.6325034e-01  6.2940089e+01  2.9420793e+01  7.0074144e-01  7.5260642e-01  6.1420282e+01  2.3476678e+01  9.9612453e-01  2.5532512e-01  9.5060049e+02  1.0209587e+03  2.1767776e+01  1.9115424e+01  1.0413291e+01  9.9999937e-01  5.6149710e+00  5.0676163e+01  8.5539378e-01  1.0644698e+00 -2.9140810e-02
 1.3017597e+01  4.1867363e-02  9.1459702e-02  1.6019225e-01  1.0495216e+02  5.6276878e+01  7.3158870e-01  7.3192772e-01  5.8562277e+01  2.1383003e+01  1.0060621e+00  2.4244440e-01  1.0700327e+03  1.0705286e+03  2.2442044e+01  1.9147722e+01  1.1705130e+01  9.9999672e-01  5.8720398e+00  5.3524960e+01  8.3734727e-01  9.8084049e-01 -1.4879947e-02
 1.5279636e+01  4.2721561e-02  7.4024558e-02  1.6354185e-01  1.8143576e+02  1.1419410e+02  7.8968873e-01  7.3337161e-01  5.4769986e+01  1.8666227e+01  1.0545894e+00  2.2199862e-01  1.2822319e+03  1.1907888e+03  2.3436578e+01  1.9144001e+01  1.3519631e+01  9.9998355e-01  6.2422014e+00  5.9643588e+01  8.5443122e-01  9.3180833e-01 -1.5198191e-03
 1.7541674e+01  5.4937304e-02  8.1432915e-02  2.0776025e-01  3.1912305e+02  2.3058814e+02  1.0309164e+00  1.0057204e+00  5.0422285e+01  1.5493999e+01  1.4319920e+00  1.5382141e-01  1.8700713e+03  1.8243661e+03  2.4529241e+01  1.8906185e+01  1.5628174e+01  9.9995237e-01  6.6630328e+00  8.6448036e+01  1.0987461e+00  1.1768166e+00  4.9811325e-03
 1.9803712e+01  6.2866295e-02  7.6816010e-02  2.3575996e-01  4.4193287e+02  3.6050448e+02  1.1798196e+00  1.1020691e+00  4.6861212e+01  1.3155761e+01  1.6109021e+00  1.0735434e-01  2.3957492e+03  2.2378685e+03  2.5693128e+01  1.8748264e+01  1.7568137e+01  9.9988897e-01  7.1208211e+00  1.0393021e+02  1.2573259e+00  1.2532454e+00  5.6263013e-03
