#r_[m]          a_[-]          a_prime_[-]    Ct_[-]         Cq_[-]         Cp_[-]         cn_[-]         ct_[-]         phi_[deg]      alpha_[deg]    Cl_[-]         Cd_[-]         Pn_[N/m]       Pt_[N/m]       Vrel_[m/s]     Un_[m/s]       Ut_[m/s]       F_[-]          Re_[-]         Gamma_[m^2/s]  uia_[m/s]      uit_[m/s]      u_turb_[m/s]  
 3.0000000e+00  6.2214176e-02  5.3205440e-05  2.1693748e-01 -4.6711445e-01 -1.4519144e-01  3.3100221e-01 -1.1374334e-01  7.1019208e+01  5.1017251e+01  1.0000000e-04  3.5000000e-01  7.5138593e+00 -2.5820114e+00  2.8698340e+00  2.7137944e+00  9.3341684e-01  1.0000000e+00  7.1268352e-01  6.4571265e-04  1.8664253e-01  4.9660211e-05 -9.9560634e-02
 4.6695996e+00  4.3564985e-02  2.3920518e-05  1.5483951e-01 -4.9336310e+00 -2.3869470e+00  3.0992701e-01 -1.6261998e-01  6.2297448e+01  4.2716800e+01  1.0000000e-04  3.5000000e-01  8.3477350e+00 -4.3800911e+00  3.1252089e+00  2.7669753e+00  1.4528517e+00  1.0000000e+00  7.7651798e-01  7.0354858e-04  1.3069495e-01  3.4752135e-05 -1.0232693e-01
 6.3391991e+00  3.6613240e-02  2.7878998e-03  1.3208260e-01 -9.2661668e+00 -6.0859864e+00  2.9821276e-01 -1.8693940e-01  5.4743198e+01  3.5669599e+01  1.9491296e-02  3.5142179e-01  9.6668997e+00 -6.0598494e+00  3.4262317e+00  2.7977684e+00  1.9777653e+00  1.0000000e+00  8.5244349e-01  1.5053896e-01  1.0983972e-01  5.4984823e-03 -9.2388730e-02
 8.0087987e+00  3.8502166e-02  1.0296907e-02  1.4020966e-01 -1.1874628e+01 -9.8533485e+00  3.2792439e-01 -1.5547835e-01  4.8125892e+01  2.9671761e+01  1.0311703e-01  3.4795805e-01  1.2964404e+01 -6.1467951e+00  3.7713680e+00  2.8082106e+00  2.5173736e+00  1.0000000e+00  9.4449843e-01  8.8241768e-01  1.1550650e-01  2.5656974e-02 -7.6279084e-02
 9.6783983e+00  4.9904545e-02  2.0478965e-02  1.8182275e-01 -7.2256692e+00 -7.2456614e+00  4.1830753e-01 -6.3724650e-02  4.2260845e+01  2.4527834e+01  2.6673031e-01  3.2847673e-01  2.0316969e+01 -3.0950716e+00  4.1519662e+00  2.7922260e+00  3.0728322e+00  1.0000000e+00  1.0539761e+00  2.5470983e+00  1.4971363e-01  6.1665573e-02 -5.8053929e-02
 1.1347998e+01  6.9938881e-02  2.9557699e-02  2.5245349e-01  7.5862299e+00  8.9195247e+00  5.5612147e-01  4.6597722e-02  3.7106674e+01  2.0143070e+01  4.7162691e-01  2.9834625e-01  3.3075609e+01  2.7714233e+00  4.5578815e+00  2.7497739e+00  3.6349727e+00  1.0000000e+00  1.1756999e+00  5.0238614e+00  2.0981664e-01  1.0435689e-01 -4.0402310e-02
 1.3017597e+01  1.0738828e-01  4.0836823e-02  3.7590083e-01  6.2306474e+01  8.4035053e+01  7.8419360e-01  1.9867721e-01  3.2182435e+01  1.5983161e+01  7.6952617e-01  2.4952296e-01  5.6495173e+01  1.4313179e+01  4.9807116e+00  2.6528108e+00  4.2154576e+00  1.0000000e+00  1.3032207e+00  9.0862349e+00  3.2216485e-01  1.6539183e-01 -2.5007754e-02
 1.5279636e+01  1.5823515e-01  4.5995375e-02  5.2833400e-01  1.8796474e+02  2.9756774e+02  1.0152243e+00  3.0263388e-01  2.6838697e+01  1.1714939e+01  1.0424987e+00  1.8831927e-01  9.3202759e+01  2.7783331e+01  5.5727847e+00  2.5160024e+00  4.9724904e+00  1.0000000e+00  1.4842800e+00  1.4019545e+01  4.7470545e-01  2.1865451e-01 -9.2739115e-03
 1.7541674e+01  2.0436908e-01  4.4870523e-02  6.4982307e-01  2.9373200e+02  5.3384940e+02  1.1422521e+00  3.2823868e-01  2.2713231e+01  8.7649448e+00  1.1804085e+00  1.3826190e-01  1.3160530e+02  3.7818226e+01  6.1819066e+00  2.3869520e+00  5.7024933e+00  1.0000000e+00  1.6792304e+00  1.7959126e+01  6.1310724e-01  2.4488570e-01  5.9017201e-05
 1.9803712e+01  2.3277152e-01  3.9738937e-02  7.1583463e-01  3.8374997e+02  7.8739277e+02  1.1478691e+00  3.0693649e-01  1.9790319e+01  7.0648686e+00  1.1839959e+00  9.9836096e-02  1.6366903e+02  4.3764571e+01  6.8083394e+00  2.3051603e+00  6.4062252e+00  9.9999999e-01  1.8869235e+00  2.0241703e+01  6.9831457e-01  2.4484662e-01  3.4737807e-03
 2.2065750e+01  2.5646520e-01  3.4654098e-02  7.6407170e-01  4.6363143e+02  1.0599565e+03  1.1197465e+00  2.7298249e-01  1.7455888e+01  5.9480412e+00  1.1500671e+00  7.5480834e-02  1.9465252e+02  4.7454248e+01  7.4459550e+00  2.2335739e+00  7.1030552e+00  9.9999999e-01  2.1034938e+00  2.1918306e+01  7.6939561e-01  2.3790555e-01  2.9674492e-03
 2.4327788e+01  2.8358639e-01  3.0710021e-02  8.1369499e-01  5.5880144e+02  1.4084992e+03  1.0943500e+00  2.4840514e-01  1.5418896e+01  5.0708252e+00  1.1210064e+00  5.1494800e-02  2.2854487e+02  5.1877115e+01  8.0926347e+00  2.1516217e+00  7.8013627e+00  9.9999999e-01  2.3251268e+00  2.3615509e+01  8.5075918e-01  2.3244168e-01  2.3768257e-03
 2.6589826e+01  3.1335147e-01  2.7266830e-02  8.5542310e-01  6.5768120e+02  1.8118715e+03  1.0624885e+00  2.2601714e-01  1.3637754e+01  4.3390366e+00  1.0858234e+00  3.0871427e-02  2.6260542e+02  5.5862562e+01  8.7448130e+00  2.0618741e+00  8.4982604e+00  9.9999999e-01  2.5465387e+00  2.5052556e+01  9.4005440e-01  2.2557004e-01  1.9284580e-03
 2.8851864e+01  3.3615702e-01  2.4316966e-02  8.9282113e-01  7.5754125e+02  2.2645225e+03  1.0303867e+00  2.0545088e-01  1.2230586e+01  3.8182042e+00  1.0505240e+00  1.7496091e-02  2.9740315e+02  5.9299813e+01  9.4082817e+00  1.9931118e+00  9.1947414e+00  9.9999999e-01  2.7641165e+00  2.6309034e+01  1.0084711e+00  2.1828030e-01  1.5828791e-03
 3.1113903e+01  3.5106046e-01  2.1535348e-02  9.1587485e-01  8.4004996e+02  2.7080462e+03  9.9018701e-01  1.8352319e-01  1.1144884e+01  3.4033009e+00  1.0069869e+00  1.1331642e-02  3.2900147e+02  6.0977772e+01  1.0078769e+01  1.9481315e+00  9.8886989e+00  9.9999999e-01  2.9702599e+00  2.7099474e+01  1.0531814e+00  2.0846716e-01  1.3128951e-03
 3.3375941e+01  3.5870122e-01  1.9000119e-02  9.2727726e-01  9.0494283e+02  3.1293283e+03  9.4903896e-01  1.6264558e-01  1.0310733e+01  3.0800460e+00  9.6282480e-01  9.8460794e-03  3.5731425e+02  6.1236245e+01  1.0754976e+01  1.9249957e+00  1.0581300e+01  9.9999998e-01  3.1541197e+00  2.7514905e+01  1.0761037e+00  1.9729728e-01  1.0993742e-03
 3.5637979e+01  3.5974070e-01  1.6729676e-02  9.2878029e-01  9.6504845e+02  3.5633514e+03  9.0953629e-01  1.4556057e-01  9.6739813e+00  2.8848046e+00  9.2106283e-01  9.3493863e-03  3.8214948e+02  6.1158521e+01  1.1435888e+01  1.9217065e+00  1.1273268e+01  9.9999997e-01  3.3102797e+00  2.7624633e+01  1.0792221e+00  1.8549485e-01  9.2861463e-04
 3.7900017e+01  3.5625149e-01  1.4738374e-02  9.2357782e-01  1.0240599e+03  4.0212513e+03  8.7343460e-01  1.3189160e-01  9.1723526e+00  2.7703592e+00  8.8329041e-01  9.0245585e-03  4.0412909e+02  6.1024870e+01  1.2120311e+01  1.9320362e+00  1.1965332e+01  9.9999994e-01  3.4395157e+00  2.7526018e+01  1.0687545e+00  1.7378818e-01  7.9064950e-04
 4.0162055e+01  3.5062852e-01  1.3026373e-02  9.1509979e-01  1.0819602e+03  4.5021884e+03  8.4229849e-01  1.2077879e-01  8.7523312e+00  2.6982537e+00  8.5086833e-01  8.7948067e-03  4.2431814e+02  6.0843791e+01  1.2807219e+01  1.9487926e+00  1.2658083e+01  9.9999988e-01  3.5439866e+00  2.7321026e+01  1.0518856e+00  1.6276863e-01  6.7812607e-04
 4.2424093e+01  3.4450020e-01  1.1570996e-02  9.0570004e-01  1.1387779e+03  5.0055067e+03  8.1646524e-01  1.1157860e-01  8.3809363e+00  2.6505668e+00  8.2400912e-01  8.6159295e-03  4.4361291e+02  6.0624388e+01  1.3495937e+01  1.9670849e+00  1.3351812e+01  9.9999975e-01  3.6273109e+00  2.7080668e+01  1.0335006e+00  1.5272657e-01  5.8555075e-04
 4.4686131e+01  3.3910047e-01  1.0344789e-02  8.9727264e-01  1.1947840e+03  5.5317002e+03  7.9580442e-01  1.0381008e-01  8.0362983e+00  2.6204877e+00  8.0250208e-01  8.4631693e-03  4.6291835e+02  6.0386182e+01  1.4185989e+01  1.9832074e+00  1.4046678e+01  9.9999949e-01  3.6945349e+00  2.6862629e+01  1.0173014e+00  1.4382212e-01  5.0877074e-04
 4.6948169e+01  3.3555718e-01  9.3230193e-03  8.9166435e-01  1.2505544e+03  6.0829985e+03  7.8011232e-01  9.7103457e-02  7.7017850e+00  2.6064438e+00  7.8608847e-01  8.3208683e-03  4.8331167e+02  6.0159586e+01  1.4877010e+01  1.9937731e+00  1.4742805e+01  9.9999904e-01  3.7521123e+00  2.6723284e+01  1.0066715e+00  1.3617786e-01  4.4461259e-04
 4.9210208e+01  3.3512504e-01  8.4863643e-03  8.9096737e-01  1.3069218e+03  6.6634824e+03  7.6933275e-01  9.1160212e-02  7.3622898e+00  2.6083073e+00  7.7467169e-01  8.1758563e-03  5.0620241e+02  5.9981223e+01  1.5568680e+01  1.9950155e+00  1.5440327e+01  9.9999831e-01  3.8078474e+00  2.6726359e+01  1.0053751e+00  1.2992961e-01  3.9062674e-04
 5.1472246e+01  3.3682474e-01  7.7860799e-03  8.9365365e-01  1.3642994e+03  7.2757751e+03  7.6343277e-01  8.6055518e-02  7.0289164e+00  2.6227483e+00  7.6822585e-01  8.0126918e-03  5.3106730e+02  5.9862863e+01  1.6261066e+01  1.9898707e+00  1.6138856e+01  9.9999714e-01  3.8543495e+00  2.6827647e+01  1.0104742e+00  1.2468759e-01  3.4490451e-04
