#r_[m]          a_[-]          a_prime_[-]    Ct_[-]         Cq_[-]         Cp_[-]         cn_[-]         ct_[-]         phi_[deg]      alpha_[deg]    Cl_[-]         Cd_[-]         Pn_[N/m]       Pt_[N/m]       Vrel_[m/s]     Un_[m/s]       Ut_[m/s]       F_[-]          Re_[-]         Gamma_[m^2/s]  uia_[m/s]      uit_[m/s]      u_turb_[m/s]  
 3.0000000e+00  1.4805585e-01  2.5024056e-01  3.2644036e-01  1.0404128e+00  3.2406071e-01  7.3367735e-01  3.7282050e-01  6.0392109e+01  4.0390152e+01  6.8662199e-01  4.5368252e-01  4.5226430e+01  2.2981956e+01  4.7291631e+00  4.1116616e+00  2.3364980e+00  1.0000000e+00  1.1744222e+00  7.3060816e+00  8.8833512e-01  4.6765938e-01 -1.0000000e+00
 4.6695996e+00  1.0944104e-01  1.7952342e-01  3.7758237e-01  1.1893675e+01  5.7662721e+00  7.4890591e-01  3.8810360e-01  5.6876512e+01  3.7295864e+01  7.3427088e-01  4.1512738e-01  8.1425148e+01  4.2196747e+01  6.2789942e+00  5.2586248e+00  3.4311271e+00  1.0000000e+00  1.5601363e+00  1.0379141e+01  6.5664622e-01  5.2221752e-01 -8.4722068e-02
 6.3391991e+00  1.0256264e-01  1.2186848e-01  3.5734143e-01  2.1319503e+01  1.4031720e+01  7.9307001e-01  4.2238821e-01  5.0134018e+01  3.1060418e+01  8.3255546e-01  3.3796928e-01  1.0461284e+02  5.5716681e+01  6.9115102e+00  5.3049011e+00  4.4302369e+00  1.0000000e+00  1.7195778e+00  1.2971123e+01  6.1537585e-01  4.8125635e-01 -7.9711443e-02
 8.0087987e+00  1.0921892e-01  9.6554355e-02  3.7980543e-01  3.5695716e+01  2.9681300e+01  8.7420174e-01  4.5952293e-01  4.3984621e+01  2.5530490e+01  9.4813380e-01  2.7646393e-01  1.4047394e+02  7.3839931e+01  7.6032899e+00  5.2802207e+00  5.4707665e+00  1.0000000e+00  1.9041619e+00  1.6357468e+01  6.5531350e-01  4.8171474e-01 -6.4441280e-02
 9.6783983e+00  1.1959016e-01  7.9065597e-02  4.1375147e-01  5.1608931e+01  5.1859436e+01  9.4114601e-01  4.4958383e-01  3.8828293e+01  2.1095282e+01  1.0150634e+00  2.3984919e-01  1.8493123e+02  8.8341330e+01  8.3511986e+00  5.2361061e+00  6.5058213e+00  1.0000000e+00  2.1199507e+00  1.9496719e+01  7.1754094e-01  4.7669625e-01 -4.6308992e-02
 1.1347998e+01  1.3731398e-01  6.9394464e-02  4.6848621e-01  7.2758875e+01  8.5724439e+01  1.0253022e+00  4.4358609e-01  3.4248427e+01  1.7284823e+01  1.0971625e+00  2.1035131e-01  2.4551796e+02  1.0622073e+02  9.1455456e+00  5.1469506e+00  7.5597555e+00  1.0000000e+00  2.3590822e+00  2.3450744e+01  8.2388388e-01  4.9056296e-01 -2.9140810e-02
 1.3017597e+01  1.4939205e-01  5.8940730e-02  5.0532044e-01  1.2451606e+02  1.6828897e+02  1.0498897e+00  3.9505132e-01  3.0650794e+01  1.4451520e+01  1.1046089e+00  1.9537940e-01  3.0378401e+02  1.1430751e+02  9.9817800e+00  5.0887542e+00  8.5872296e+00  1.0000000e+00  2.6117679e+00  2.6138803e+01  8.9635228e-01  4.7796603e-01 -1.4879947e-02
 1.5279636e+01  1.5740671e-01  4.6098989e-02  5.3016793e-01  1.8956220e+02  3.0072129e+02  1.0149510e+00  3.0377885e-01  2.6911198e+01  1.1787439e+01  1.0425341e+00  1.8849360e-01  3.7410513e+02  1.1197114e+02  1.1166400e+01  5.0540130e+00  9.9571801e+00  1.0000000e+00  2.9741080e+00  2.8092448e+01  9.4444028e-01  4.3878835e-01 -1.5198191e-03
 1.7541674e+01  2.0420802e-01  4.4838893e-02  6.5138590e-01  2.9479148e+02  5.3689009e+02  1.1424485e+00  3.2837592e-01  2.2715755e+01  8.7674694e+00  1.1806366e+00  1.3826315e-01  5.2768724e+02  1.5167404e+02  1.2377608e+01  4.7797335e+00  1.1417501e+01  1.0000000e+00  3.3622079e+00  3.5965274e+01  1.2252481e+00  4.8997802e-01  4.9811325e-03
 1.9803712e+01  2.3265205e-01  3.9569244e-02  7.1584957e-01  3.8336567e+02  7.8824143e+02  1.1459701e+00  3.0582408e-01  1.9770343e+01  7.0448927e+00  1.1818672e+00  9.9827782e-02  6.5468980e+02  1.7471653e+02  1.3628099e+01  4.6097162e+00  1.2824804e+01  1.0000000e+00  3.7770120e+00  4.0444515e+01  1.3959123e+00  4.8815195e-01  5.6263013e-03
 2.2065750e+01  2.5633868e-01  3.4501302e-02  7.6402990e-01  4.6315530e+02  1.0610718e+03  1.1177257e+00  2.7196581e-01  1.7437028e+01  5.9291809e+00  1.1478593e+00  7.5466685e-02  7.7856747e+02  1.8944158e+02  1.4904958e+01  4.4663812e+00  1.4220028e+01  9.9999999e-01  4.2106736e+00  4.3790794e+01  1.5380321e+00  4.7424730e-01  4.4091706e-03
 2.4327788e+01  2.8346529e-01  3.0580839e-02  8.1378793e-01  5.5845570e+02  1.4105575e+03  1.0924579e+00  2.4755808e-01  1.5402421e+01  5.0543493e+00  1.1189721e+00  5.1486550e-02  9.1428391e+02  2.0718269e+02  1.6200204e+01  4.3027232e+00  1.5618361e+01  9.9999999e-01  4.6545446e+00  4.7188809e+01  1.7007917e+00  4.6344981e-01  3.5068562e-03
 2.6589826e+01  3.1315067e-01  2.7161931e-02  8.5581186e-01  6.5775288e+02  1.8158405e+03  1.0609106e+00  2.2538885e-01  1.3624862e+01  4.3261440e+00  1.0841489e+00  3.0866036e-02  1.0508991e+03  2.2326190e+02  1.7506603e+01  4.1239228e+00  1.7013948e+01  9.9999999e-01  5.0980212e+00  5.0076405e+01  1.8789040e+00  4.4991122e-01  2.8267658e-03
 2.8851864e+01  3.3597361e-01  2.4226040e-02  8.9330337e-01  7.5779154e+02  2.2699854e+03  1.0288951e+00  2.0491524e-01  1.2218993e+01  3.8066118e+00  1.0489563e+00  1.7491352e-02  1.1902551e+03  2.3705179e+02  1.8835282e+01  3.9864648e+00  1.8408584e+01  9.9999999e-01  5.5337326e+00  5.2591815e+01  2.0158417e+00  4.3541863e-01  2.3064194e-03
 3.1113903e+01  3.5089406e-01  2.1456563e-02  9.1642646e-01  8.4042648e+02  2.7148988e+03  9.8877757e-01  1.8305934e-01  1.1134250e+01  3.3926667e+00  1.0055165e+00  1.1327680e-02  1.3167985e+03  2.4378816e+02  2.0177973e+01  3.8965385e+00  1.9798171e+01  9.9999999e-01  5.9465422e+00  5.4174673e+01  2.1053643e+00  4.1587741e-01  1.9027878e-03
 3.3375941e+01  3.5855385e-01  1.8931873e-02  9.2788263e-01  9.0538596e+02  3.1373770e+03  9.4770751e-01  1.6223635e-01  1.0300754e+01  3.0700668e+00  9.6144333e-01  9.8429342e-03  1.4301901e+03  2.4483167e+02  2.1532082e+01  3.8502626e+00  2.1185043e+01  9.9999998e-01  6.3147295e+00  5.5007387e+01  2.1513231e+00  3.9362058e-01  1.5857099e-03
 3.5637979e+01  3.5960987e-01  1.6670437e-02  9.2942076e-01  9.6553747e+02  3.5725773e+03  9.0827152e-01  1.4519327e-01  9.6644886e+00  2.8753119e+00  9.1975589e-01  9.3465409e-03  1.5296520e+03  2.4452509e+02  2.2895585e+01  3.8436745e+00  2.2570644e+01  9.9999997e-01  6.6274512e+00  5.5228302e+01  2.1576592e+00  3.7009289e-01  1.3337070e-03
 3.7900017e+01  3.5613402e-01  1.4686753e-02  9.2423892e-01  1.0245869e+03  4.0316946e+03  8.7222549e-01  1.3155721e-01  9.1632491e+00  2.7612558e+00  8.8204490e-01  9.0217908e-03  1.6176735e+03  2.4399265e+02  2.4266098e+01  3.8643271e+00  2.3956429e+01  9.9999994e-01  6.8862610e+00  5.5032184e+01  2.1368041e+00  3.4674954e-01  1.1312586e-03
 4.0162055e+01  3.5052228e-01  1.2981148e-02  9.1577344e-01  1.0825170e+03  4.5138808e+03  8.4113559e-01  1.2047058e-01  8.7435582e+00  2.6894808e+00  8.4967343e-01  8.7923827e-03  1.6985220e+03  2.4326866e+02  2.5641571e+01  3.8978333e+00  2.5343581e+01  9.9999988e-01  7.0954814e+00  5.4623117e+01  2.1031337e+00  3.2477284e-01  9.6699613e-04
 4.2424093e+01  3.4440556e-01  1.1531156e-02  9.0638512e-01  1.1393637e+03  5.0185050e+03  8.1534314e-01  1.1129228e-01  8.3724368e+00  2.6420672e+00  8.2285856e-01  8.6135721e-03  1.7757938e+03  2.4239137e+02  2.7020654e+01  3.9343992e+00  2.6732681e+01  9.9999975e-01  7.2623571e+00  5.4143381e+01  2.0664333e+00  3.0474465e-01  8.3248618e-04
 4.4686131e+01  3.3901796e-01  1.0309467e-02  8.9797082e-01  1.1953981e+03  5.5460625e+03  7.9471853e-01  1.0354242e-01  8.0280394e+00  2.6122288e+00  8.0139066e-01  8.4608718e-03  1.8531142e+03  2.4143886e+02  2.8402398e+01  3.9666137e+00  2.8124050e+01  9.9999950e-01  7.3969923e+00  5.3708376e+01  2.0341077e+00  2.8698530e-01  7.2139792e-04
 4.6948169e+01  3.3548809e-01  9.2914736e-03  8.9238069e-01  1.2511984e+03  6.0987983e+03  7.7905959e-01  9.6852206e-02  7.6937459e+00  2.5984048e+00  7.8501274e-01  8.3186265e-03  1.9347998e+03  2.4053312e+02  2.9786073e+01  3.9877004e+00  2.9517934e+01  9.9999905e-01  7.5123089e+00  5.3430928e+01  2.0129286e+00  2.7174024e-01  6.2892560e-04
 4.9210208e+01  3.3507159e-01  8.4579488e-03  8.9171056e-01  1.3075992e+03  6.6808122e+03  7.6831143e-01  9.0923843e-02  7.3544591e+00  2.6004765e+00  7.7362963e-01  8.1736680e-03  2.0264986e+03  2.3982077e+02  3.1171040e+01  3.9901219e+00  3.0914603e+01  9.9999833e-01  7.6239327e+00  5.3438557e+01  2.0104295e+00  2.5928114e-01  5.5138282e-04
 5.1472246e+01  3.3678916e-01  7.7603105e-03  8.9443036e-01  1.3650134e+03  7.2947343e+03  7.6244014e-01  8.5832165e-02  7.0212732e+00  2.6151051e+00  7.6721441e-01  8.0105521e-03  2.1261155e+03  2.3934875e+02  3.2557434e+01  3.9797509e+00  3.2313281e+01  9.9999718e-01  7.7170670e+00  5.3642820e+01  2.0207350e+00  2.4883009e-01  4.8591394e-04
 5.3734284e+01  3.3870905e-01  7.1495677e-03  8.9745456e-01  1.4229471e+03  7.9385218e+03  7.6057746e-01  8.1623827e-02  6.7131096e+00  2.6445762e+00  7.6490455e-01  7.8457585e-03  2.2270560e+03  2.3900371e+02  3.3945634e+01  3.9681760e+00  3.3712901e+01  9.9999525e-01  7.7718623e+00  5.3861062e+01  2.0322543e+00  2.3932162e-01  4.3028635e-04
 5.5996322e+01  3.4039964e-01  6.6069921e-03  9.0010155e-01  1.4809753e+03  8.6100717e+03  7.6186768e-01  7.8129856e-02  6.4312783e+00  2.6938307e+00  7.6582462e-01  7.6997046e-03  2.3276529e+03  2.3870180e+02  3.5335547e+01  3.9579849e+00  3.5113177e+01  9.9999199e-01  7.7901924e+00  5.4053035e+01  2.0423978e+00  2.3046977e-01  3.8273934e-04
 5.8258360e+01  3.4194525e-01  6.1235057e-03  9.0250744e-01  1.5391855e+03  9.3099779e+03  7.6619135e-01  7.5242127e-02  6.1720416e+00  2.7627615e+00  7.6983976e-01  7.5704849e-03  2.4281542e+03  2.3845151e+02  3.6726956e+01  3.9486704e+00  3.6514069e+01  9.9998644e-01  7.7745527e+00  5.4227343e+01  2.0516715e+00  2.2223326e-01  3.4187301e-04
 6.0520398e+01  3.4346296e-01  5.6918401e-03  9.0485564e-01  1.5975901e+03  1.0038448e+04  7.7347801e-01  7.2866958e-02  5.9319016e+00  2.8515019e+00  7.7686690e-01  7.4593496e-03  2.5289968e+03  2.3824893e+02  3.8119667e+01  3.9395288e+00  3.7915553e+01  9.9997703e-01  7.7280968e+00  5.4395346e+01  2.0607778e+00  2.1458786e-01  3.0656575e-04
 6.2782436e+01  3.4510603e-01  5.3061645e-03  9.0738096e-01  1.6563102e+03  1.0796408e+04  7.8369344e-01  7.0928710e-02  5.7075314e+00  2.9603554e+00  7.8686218e-01  7.3616600e-03  2.6308436e+03  2.3810630e+02  3.9513506e+01  3.9296398e+00  3.9317618e+01  9.9996115e-01  7.6546368e+00  5.4571494e+01  2.0706362e+00  2.0752459e-01  2.7591241e-04
 6.5044474e+01  3.4709803e-01  4.9620447e-03  9.1041966e-01  1.7157117e+03  1.1586550e+04  7.9686600e-01  6.9369300e-02  5.4954607e+00  3.0894827e+00  7.9984672e-01  7.2629155e-03  2.7347601e+03  2.3806813e+02  4.0908303e+01  3.9176610e+00  4.0720280e+01  9.9993452e-01  7.5586427e+00  5.4776359e+01  2.0825882e+00  2.0105819e-01  2.4917751e-04
 6.7306513e+01  3.4966281e-01  4.6555277e-03  9.1429645e-01  1.7758304e+03  1.2409607e+04  8.1297103e-01  6.8120136e-02  5.2926710e+00  3.2393781e+00  8.1578855e-01  7.1613577e-03  2.8419166e+03  2.3812871e+02  4.2303911e+01  3.9022489e+00  4.2123549e+01  9.9989029e-01  7.4452120e+00  5.5029714e+01  2.0979769e+00  1.9519859e-01  2.2575958e-04
 6.9568551e+01  3.5177283e-01  4.3740666e-03  9.1742653e-01  1.8363943e+03  1.3264117e+04  8.3092110e-01  6.7162783e-02  5.1063774e+00  3.4033193e+00  8.3360114e-01  7.0600416e-03  2.9474840e+03  2.3824311e+02  4.3700480e+01  3.8895683e+00  4.3527040e+01  9.9981460e-01  7.3135258e+00  5.5236694e+01  2.1106370e+00  1.8956102e-01  2.0516376e-04
 7.1830589e+01  3.5273381e-01  4.1101187e-03  9.1875380e-01  1.8971308e+03  1.4148361e+04  8.5047840e-01  6.6518543e-02  4.9403544e+00  3.5797155e+00  8.5304726e-01  6.9706288e-03  3.0477250e+03  2.3837199e+02  4.5098066e+01  3.8837843e+00  4.4930521e+01  9.9968165e-01  7.1593883e+00  5.5333939e+01  2.1164029e+00  1.8391387e-01  1.8698056e-04
 7.4092627e+01  3.5270346e-01  3.8629914e-03  9.1849097e-01  1.9579507e+03  1.5061776e+04  8.7236198e-01  6.6202403e-02  4.7916166e+00  3.7743593e+00  8.7484318e-01  6.8991422e-03  3.1428025e+03  2.3850315e+02  4.6496536e+01  3.8839504e+00  4.6334035e+01  9.9944706e-01  6.9810556e+00  5.5334232e+01  2.1162207e+00  1.7829921e-01  1.7086926e-04
 7.6354665e+01  3.5186680e-01  3.6319687e-03  9.1684653e-01  2.0199619e+03  1.6013202e+04  8.9745741e-01  6.6281050e-02  4.6573293e+00  3.9931942e+00  8.9987590e-01  6.8079733e-03  3.2329533e+03  2.3876736e+02  4.7895764e+01  3.8889562e+00  4.7737618e+01  9.9903261e-01  6.7765682e+00  5.5250347e+01  2.1112008e+00  1.7275410e-01  1.5654490e-04
 7.8616703e+01  3.5025116e-01  3.4151905e-03  9.1372738e-01  2.0827631e+03  1.7000204e+04  9.2658314e-01  6.6784878e-02  4.5360790e+00  4.2435851e+00  9.2896264e-01  6.7048398e-03  3.3174064e+03  2.3910707e+02  4.9295656e+01  3.8986375e+00  4.9141248e+01  9.9829906e-01  6.5437540e+00  5.5076685e+01  2.1015070e+00  1.6725551e-01  1.4376800e-04
 8.0878741e+01  3.4777705e-01  3.2101100e-03  9.0877350e-01  2.1449370e+03  1.8011437e+04  9.6056906e-01  6.7735894e-02  4.4273331e+00  4.5337773e+00  9.6293161e-01  6.6170359e-03  3.3943549e+03  2.3935776e+02  5.0696132e+01  3.9134710e+00  5.0544857e+01  9.9699827e-01  6.2802243e+00  5.4791499e+01  2.0866623e+00  1.6173536e-01  1.3233635e-04
