#r_[m]          a_[-]          a_prime_[-]    Ct_[-]         Cq_[-]         Cp_[-]         cn_[-]         ct_[-]         phi_[deg]      alpha_[deg]    Cl_[-]         Cd_[-]         Pn_[N/m]       Pt_[N/m]       Vrel_[m/s]     Un_[m/s]       Ut_[m/s]       F_[-]          Re_[-]         Gamma_[m^2/s]  uia_[m/s]      uit_[m/s]      u_turb_[m/s]  
 3.0000000e+00  6.4410035e-02  3.1924144e-05  1.2931016e-01 -3.6586118e-01 -1.1323316e-01  3.1898921e-01 -1.4403434e-01  6.5682856e+01  4.5680899e+01  1.0000000e-04  3.5000000e-01  7.9623012e+00 -3.5952463e+00  3.0093451e+00  2.7423563e+00  1.2392094e+00  1.0000000e+00  7.4732918e-01  6.7710265e-04  2.5764014e-01  3.9559436e-05 -1.0000000e+00
 4.6695996e+00  4.3074984e-02  2.6376797e-05  1.7009504e-01 -5.1184036e+00 -2.4657566e+00  3.1360789e-01 -1.5540303e-01  6.3623701e+01  4.4043053e+01  1.0000000e-04  3.5000000e-01  1.6302566e+01 -8.0784580e+00  4.3416912e+00  3.8897021e+00  1.9288598e+00  1.0000000e+00  1.0787763e+00  9.7740369e-04  1.7229994e-01  5.0875801e-05  6.2005711e-02
 6.3391991e+00  3.6004289e-02  2.9354726e-03  1.4196446e-01 -9.4922695e+00 -6.2078395e+00  3.0245995e-01 -1.8070842e-01  5.6053015e+01  3.6979416e+01  1.8993860e-02  3.5181925e-01  1.8471354e+01 -1.1035938e+01  4.7027475e+00  3.9011860e+00  2.6261344e+00  1.0000000e+00  1.1700395e+00  2.0135218e-01  1.4401716e-01  7.6863826e-03  4.5207211e-02
 8.0087987e+00  3.7522983e-02  1.0678354e-02  1.4685828e-01 -1.2029387e+01 -9.9390963e+00  3.3071378e-01 -1.5165317e-01  4.9275233e+01  3.0821102e+01  1.0083557e-01  3.4957471e-01  2.4140736e+01 -1.1070053e+01  5.1245839e+00  3.8836781e+00  3.3434121e+00  1.0000000e+00  1.2833968e+00  1.1725120e+00  1.5009193e-01  3.5324926e-02  3.3774830e-02
 9.6783983e+00  4.7770213e-02  2.0533597e-02  1.8422903e-01 -7.7418997e+00 -7.7301347e+00  4.1434888e-01 -6.6747895e-02  4.3225375e+01  2.5492364e+01  2.5620806e-01  3.3241195e-01  3.6597063e+01 -5.8954592e+00  5.5990226e+00  3.8346020e+00  4.0798140e+00  1.0000000e+00  1.4213112e+00  3.2993208e+00  1.9108085e-01  8.2087700e-02  2.5689641e-02
 1.1347998e+01  6.8730263e-02  3.0994073e-02  2.5849797e-01  9.4440501e+00  1.1056395e+01  5.6263117e-01  5.7315929e-02  3.7772758e+01  2.0809154e+01  4.7983754e-01  2.9932403e-01  6.0208953e+01  6.1335601e+00  6.1138190e+00  3.7449055e+00  4.8326459e+00  1.0000000e+00  1.5770521e+00  6.8561900e+00  2.7492105e-01  1.4528055e-01  1.9835819e-02
 1.3017597e+01  1.0338735e-01  4.1151205e-02  3.7361612e-01  6.2588006e+01  8.4053922e+01  7.7568908e-01  1.9861776e-01  3.2757395e+01  1.6558121e+01  7.5979931e-01  2.5268077e-01  9.9825418e+01  2.5560628e+01  6.6569317e+00  3.6019527e+00  5.5982744e+00  1.0000000e+00  1.7418096e+00  1.1990634e+01  4.1354939e-01  2.2127022e-01  1.5524459e-02
 1.5279636e+01  1.5540540e-01  4.6603835e-02  5.2803645e-01  1.9158971e+02  3.0200992e+02  1.0162689e+00  3.0896170e-01  2.7165493e+01  1.2041734e+01  1.0452261e+00  1.8910937e-01  1.6560048e+02  5.0345143e+01  7.4244682e+00  3.3897314e+00  6.6054863e+00  1.0000000e+00  1.9774655e+00  1.8726721e+01  6.2162162e-01  2.9413332e-01  1.1361800e-02
 1.7541674e+01  2.0402475e-01  4.5537065e-02  6.5244377e-01  2.9885864e+02  5.4084506e+02  1.1529274e+00  3.3573478e-01  2.2850650e+01  8.9023641e+00  1.1928219e+00  1.3833033e-01  2.3490854e+02  6.8405840e+01  8.2208205e+00  3.1923943e+00  7.5756523e+00  1.0000000e+00  2.2330735e+00  2.4133550e+01  8.1609899e-01  3.2994810e-01  8.4929662e-03
 1.9803712e+01  2.3254627e-01  4.0114502e-02  7.1620836e-01  3.8728232e+02  7.9124376e+02  1.1562315e+00  3.1185564e-01  1.9878362e+01  7.1529119e+00  1.1933779e+00  9.9872741e-02  2.9111908e+02  7.8519851e+01  9.0472597e+00  3.0762893e+00  8.5081932e+00  9.9999999e-01  2.5074377e+00  2.7111322e+01  9.3018509e-01  3.2813879e-01  6.4728567e-03
