y,x,U_local,V_local,WS,WS_nondim
0.20549634216510945,0.0,8.400238463218193,-0.0,8.400238463218193,1.050029807902274
0.3198618772900197,0.0,8.219181482144908,-0.0,8.219181482144908,1.0273976852681135
0.4342274124149299,0.0,8.128627853202772,-0.0,8.128627853202772,1.0160784816503465
0.5485929475398402,0.0,8.079897399395238,-0.0,8.079897399395238,1.0099871749244047
0.6629584826647504,0.0,8.052144615157568,-0.0,8.052144615157568,1.006518076894696
0.7773240177896605,0.0,8.035520554880511,-0.0,8.035520554880511,1.004440069360064
0.8916895529145711,0.0,8.02510159265835,-0.0,8.02510159265835,1.0031376990822938
1.0466364069547716,0.0,8.016473974548356,-0.0,8.016473974548356,1.0020592468185445
1.2015832609949728,0.0,8.011330359728966,-0.0,8.011330359728966,1.0014162949661207
1.356530115035174,0.0,8.008097302905176,-0.0,8.008097302905176,1.001012162863147
1.5114769690753753,0.0,8.005973344946332,-0.0,8.005973344946332,1.0007466681182915
1.666423823115576,0.0,8.004525168462537,-0.0,8.004525168462537,1.0005656460578172
1.8213706771557772,0.0,8.003506115380825,-0.0,8.003506115380825,1.000438264422603
1.9763175311959778,0.0,8.002769392897525,-0.0,8.002769392897525,1.0003461741121906
2.131264385236179,0.0,8.0022242049092,-0.0,8.0022242049092,1.00027802561365
2.28621123927638,0.0,8.001812470336718,-0.0,8.001812470336718,1.0002265587920898
2.441158093316581,0.0,8.001495923370735,-0.0,8.001495923370735,1.0001869904213418
2.5961049473567823,0.0,8.001248688495982,-0.0,8.001248688495982,1.0001560860619978
2.7510518013969825,0.0,8.001052859715395,-0.0,8.001052859715395,1.0001316074644244
2.9059986554371835,0.0,8.000895787861163,-0.0,8.000895787861163,1.0001119734826454
3.060945509477384,0.0,8.000768370449022,-0.0,8.000768370449022,1.0000960463061277
3.2158923635175856,0.0,8.000663947036692,-0.0,8.000663947036692,1.0000829933795865
3.370839217557787,0.0,8.000577569853998,-0.0,8.000577569853998,1.0000721962317498
3.5257860715979876,0.0,8.00050551252252,-0.0,8.00050551252252,1.000063189065315
3.6807329256381887,0.0,8.00044493308207,-0.0,8.00044493308207,1.0000556166352588
3.835679779678389,0.0,8.000393638988482,-0.0,8.000393638988482,1.0000492048735603
3.9906266337185903,0.0,8.000349920709759,-0.0,8.000349920709759,1.0000437400887199
4.145573487758791,0.0,8.000312432232429,-0.0,8.000312432232429,1.0000390540290536
4.300520341798992,0.0,8.000280104135609,-0.0,8.000280104135609,1.000035013016951
4.455467195839193,0.0,8.000252079593816,-0.0,8.000252079593816,1.000031509949227
4.610414049879394,0.0,8.000227666733037,-0.0,8.000227666733037,1.0000284583416297
4.765360903919595,0.0,8.000206302791861,-0.0,8.000206302791861,1.0000257878489827
4.9203077579597965,0.0,8.00018752690071,-0.0,8.00018752690071,1.0000234408625888
5.0752546119999975,0.0,8.000170959219046,-0.0,8.000170959219046,1.0000213699023808
5.2302014660401985,0.0,8.000156284809437,-0.0,8.000156284809437,1.0000195356011796
5.3851483200804,0.0,8.000143241073477,-0.0,8.000143241073477,1.0000179051341846
5.540095174120601,0.0,8.00013160788928,-0.0,8.00013160788928,1.00001645098616
5.695042028160802,0.0,8.000121199814872,-0.0,8.000121199814872,1.000015149976859
5.823703255176326,0.0,8.00011337510446,-0.0,8.00011337510446,1.0000141718880575
5.952364482191849,0.0,8.000106209088733,-0.0,8.000106209088733,1.0000132761360916
6.081025709207372,0.0,8.000099633950361,-0.0,8.000099633950361,1.0000124542437951
6.209686936222898,0.0,8.000093590073991,-0.0,8.000093590073991,1.000011698759249
6.338348163238422,0.0,8.000088024912856,-0.0,8.000088024912856,1.000011003114107
6.467009390253946,0.0,8.000082892030736,-0.0,8.000082892030736,1.000010361503842
6.595670617269469,0.0,8.000078150289397,-0.0,8.000078150289397,1.0000097687861746
6.724331844284992,0.0,8.000073763157104,-0.0,8.000073763157104,1.000009220394638
6.810105995628676,0.0,8.000071019200693,-0.0,8.000071019200693,1.0000088774000866
6.895880146972359,0.0,8.000068409576086,-0.0,8.000068409576086,1.0000085511970107
6.981654298316041,0.0,8.000065926168212,-0.0,8.000065926168212,1.0000082407710265
7.067428449659725,0.0,8.000063561442845,-0.0,8.000063561442845,1.0000079451803556
